frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,1.556,8.251,1.465,8.251,6,confederate
1,0,1.609,8.104,1.432,7.9615,9,confederate
1,1,0.2835,9.454,0.303,9.454,12,confederate
2,0,1.689,8.4585,1.521,8.4585,9,confederate
2,1,0.2835,9.4235,0.305,9.5205,9,confederate
3,0,1.573,8.3025,1.474,8.3025,9,confederate
3,1,0.283,9.62225,0.339,9.865,9,confederate
4,0,1.668,8.727,1.549,8.727,9,confederate
4,1,0.2975,9.32575,0.325,9.454,9,confederate
5,0,1.629,8.3025,1.493,8.3025,9,confederate
5,1,0.3005,9.4235,0.362,9.867,9,confederate
6,0,1.721,9.0165,1.601,9.0165,9,confederate
6,1,0.29,9.5225,0.337,9.7945,9,confederate
7,0,1.591,8.104,1.391,7.735,9,confederate
7,1,0.2945,9.69275,0.365,9.9375,9,confederate
8,0,1.629,8.104,1.441,8.0095,9,confederate
8,1,0.305,9.69275,0.362,9.865,9,confederate
9,0,1.5755,8.341999999999999,1.56,8.6745,12,confederate
9,1,0.2935,9.55475,0.357,9.726,9,confederate
10,0,1.693,8.4565,1.512,8.404,12,confederate
10,1,0.299,9.42475,0.35,9.5245,9,confederate
11,0,1.669,8.51,1.531,8.51,9,confederate
11,1,0.3015,9.69175,0.36,9.7945,9,confederate
12,0,1.691,8.727,1.549,8.727,9,confederate
12,1,0.296,9.49025,0.36,9.7945,9,confederate
13,0,1.6635,8.6745,1.569,8.84,12,confederate
13,1,0.283,9.265,0.357,9.724,12,confederate
14,0,1.697,8.6745,1.511,8.51,9,confederate
14,1,0.298,9.6565,0.362,9.867,9,confederate
15,0,1.5495,8.1795,1.474,8.301,12,confederate
15,1,0.285,9.265,0.37,10.085,12,confederate
16,0,1.582,8.104,1.439,8.104,9,confederate
16,1,0.283,9.5205,0.36,9.7945,12,confederate
17,0,1.628,8.2025,1.456,8.2025,9,confederate
17,1,0.287,9.62225,0.36,9.7945,9,confederate
18,0,1.624,8.51475,1.549,8.727,12,confederate
18,1,0.258,9.454,0.362,9.865,12,confederate
19,0,1.5995,8.3025,1.492,8.404,12,confederate
19,1,0.258,9.454,0.36,9.7945,12,confederate
20,0,1.649,8.430250000000001,1.501,8.4565,12,confederate
20,1,0.26,9.5205,0.365,9.9375,12,confederate
21,0,1.591,8.301,1.474,8.301,9,confederate
21,1,0.258,9.454,0.362,9.865,12,confederate
22,0,1.567,8.32875,1.481,8.4565,12,confederate
22,1,0.264,9.6555,0.373,10.16,12,confederate
23,0,1.6195,8.3275,1.492,8.404,12,confederate
23,1,0.255,9.325,0.355,9.6555,12,confederate
24,0,1.639,8.54275,1.501,8.4565,12,confederate
24,1,0.281,9.454,0.368,10.01,12,confederate
25,0,1.59,8.464,1.549,8.727,12,confederate
25,1,0.26,9.5205,0.368,10.01,12,confederate
26,0,1.66,8.536249999999999,1.481,8.4565,12,confederate
26,1,0.281,9.454,0.373,10.16,12,confederate
27,0,1.5995,8.430250000000001,1.501,8.4565,12,confederate
27,1,0.291,9.7945,0.368,10.01,12,confederate
28,0,1.54,8.1525,1.439,8.104,12,confederate
28,1,0.281,9.3265,0.357,9.724,12,confederate
29,0,1.6545,8.59925,1.454,8.301,12,confederate
29,1,0.283,9.5205,0.36,9.7945,12,confederate
30,0,1.61,8.336500000000001,1.439,8.104,9,confederate
30,1,0.301,9.3895,0.383,9.7985,12,confederate
31,0,1.654,8.48275,1.481,8.4565,9,confederate
31,1,0.277,9.325,0.383,9.7945,12,confederate
32,0,1.639,8.70125,1.569,8.84,12,confederate
32,1,0.283,9.5205,0.391,10.01,12,confederate
33,0,1.6145,8.5725,1.483,8.3525,12,confederate
33,1,0.275,8.958,0.38,9.726,12,confederate
34,0,1.557,8.25625,1.439,8.104,12,confederate
34,1,0.281,9.456,0.391,10.01,12,confederate
35,0,1.581,8.308250000000001,1.437,8.201,12,confederate
35,1,0.283,9.5205,0.386,9.867,12,confederate
36,0,1.5465,8.13425,1.387,7.916,12,confederate
36,1,0.26,9.5205,0.397,10.162,12,confederate
37,0,1.6095,8.37825,1.463,8.3525,12,confederate
37,1,0.279,9.3895,0.383,9.7945,15,confederate
38,0,1.545,8.03275,1.413,7.9615,12,confederate
38,1,0.257,9.454,0.391,10.01,12,confederate
39,0,1.675,8.590250000000001,1.53,8.618,12,confederate
39,1,0.233,9.3895,0.365,9.9375,15,confederate
40,0,1.6045,8.251000000000001,1.474,8.301,12,confederate
40,1,0.189,9.3895,0.355,9.6555,12,confederate
41,0,1.717,8.957,1.59,8.957,12,confederate
41,1,0.192,9.589,0.365,9.9375,12,confederate
42,0,1.5995,8.225999999999999,1.465,8.251,12,confederate
42,1,0.162,9.1375,0.295,9.199,12,confederate
