frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-3.134,9.587,-3.179,9.724,6,confederate
0,1,-3.486,8.6715,-3.486,8.6715,6,confederate
1,0,-3.067,9.6555,-3.202,9.9375,6,confederate
1,1,-3.534,8.7835,-3.531,8.7835,12,confederate
2,0,-3.0330000000000004,9.68975,-3.087,9.7945,6,confederate
2,1,-3.755,9.199,-3.601,8.957,12,confederate
3,0,-2.9555,9.587,-3.022,9.587,9,confederate
3,1,-3.724,9.199,-3.724,9.262,12,confederate
4,0,-2.9865000000000004,9.724,-3.065,9.724,9,confederate
4,1,-3.779,9.3265,-3.75,9.3265,12,confederate
5,0,-2.999,9.62125,-3.021,9.6555,9,confederate
5,1,-3.785,9.199,-3.555,8.842,9,confederate
6,0,-2.886,9.454,-2.977,9.587,9,confederate
6,1,-3.859,9.6555,-3.828,9.5205,9,confederate
7,0,-2.916,9.454,-2.977,9.587,9,confederate
7,1,-3.824,9.325,-3.464,8.616,9,confederate
8,0,-2.9045,9.62125,-3.108,10.01,9,confederate
8,1,-3.501,8.51,-3.421,8.51,6,confederate
9,0,-2.953,9.6555,-2.953,9.6555,9,confederate
9,1,-3.545,8.616,-3.379,8.405,6,confederate
10,0,-2.8325,9.325,-2.891,9.454,9,confederate
10,1,-3.554,8.84,-3.554,8.84,6,confederate
11,0,-2.8520000000000003,9.454,-2.932,9.587,9,confederate
11,1,-3.422,8.4585,-3.444,8.5655,3,confederate
12,0,-2.9945000000000004,9.83075,-3.108,10.162,9,confederate
12,1,-3.452,8.5625,-3.442,8.5625,3,confederate
13,0,-2.813,9.199,-2.813,9.199,9,confederate
13,1,-3.479,8.4565,-3.421,8.509,9,confederate
14,0,-2.9105,9.55375,-2.932,9.587,9,confederate
14,1,-3.661,8.957,-3.531,8.7835,9,confederate
15,0,-2.8325,9.325,-2.852,9.325,9,confederate
15,1,-3.545,8.616,-3.317,8.251,9,confederate
16,0,-2.8315,9.325,-2.833,9.262,9,confederate
16,1,-3.338,8.301,-3.338,8.3025,9,confederate
17,0,-2.8715,9.454,-2.891,9.454,9,confederate
17,1,-3.523,8.6715,-3.509,8.728,12,confederate
18,0,-2.8425,9.454,-2.891,9.454,9,confederate
18,1,-3.489,8.727,-3.489,8.728,12,confederate
19,0,-2.7155,9.2935,-2.833,9.262,9,confederate
19,1,-3.279,8.301,-3.318,8.301,12,confederate
20,0,-2.706,9.10775,-2.776,9.076,9,confederate
20,1,-3.374,8.251,-3.359,8.405,6,confederate
21,0,-2.785,9.325,-2.912,9.5205,9,confederate
21,1,-3.382,8.51,-3.421,8.51,3,confederate
22,0,-2.8215000000000003,9.2935,-2.974,9.724,9,confederate
22,1,-3.652,8.957,-3.652,9.1375,3,confederate
23,0,-2.7665,9.077,-2.932,9.587,9,confederate
23,1,-3.503,8.7835,-3.511,8.7835,3,confederate
24,0,-2.8715,9.454,-2.974,9.724,9,confederate
24,1,-3.621,8.404,-3.634,9.199,6,confederate
25,0,-2.7590000000000003,9.199,-2.833,9.262,9,confederate
25,1,-3.742,9.1375,-3.517,8.957,9,confederate
26,0,-2.985,9.76025,-3.108,10.01,9,confederate
26,1,-3.388,8.4565,-3.494,8.8985,9,confederate
27,0,-2.7695,8.98675,-2.818,9.076,9,confederate
27,1,-3.383,8.404,-3.383,8.616,9,confederate
28,0,-2.906,9.454,-2.958,9.454,9,confederate
28,1,-3.501,8.6745,-3.492,8.84,9,confederate
29,0,-2.9565,9.587,-3.109,9.9375,9,confederate
29,1,-3.842,9.3265,-3.628,9.076,9,confederate
30,0,-2.9365,9.454,-2.98,9.454,9,confederate
30,1,-3.793,9.325,-3.554,8.84,6,confederate
31,0,-2.9065,9.42175,-3.004,9.3895,9,confederate
31,1,-3.742,9.199,-3.601,8.957,6,confederate
32,0,-2.954,9.587,-3.274,10.16,9,confederate
32,1,-3.445,8.5655,-3.445,8.618,6,confederate
33,0,-3.023,9.587,-3.112,9.587,9,confederate
33,1,-3.395,8.618,-3.448,8.728,6,confederate
34,0,-3.0075000000000003,9.42175,-3.202,9.724,9,confederate
34,1,-3.501,8.6715,-3.493,8.842,6,confederate
35,0,-3.092,9.454,-3.157,9.5205,9,confederate
35,1,-3.604,9.0165,-3.604,9.0165,6,confederate
36,0,-3.0525,9.3895,-3.135,9.454,9,confederate
36,1,-3.436,8.7835,-3.601,8.957,6,confederate
37,0,-3.062,9.454,-3.135,9.454,9,confederate
37,1,-3.524,8.7835,-3.511,8.7835,12,confederate
38,0,-3.0615,9.55375,-3.202,9.587,9,confederate
38,1,-3.379,8.201,-3.379,8.404,12,confederate
39,0,-3.0935,9.35725,-3.157,9.454,9,confederate
39,1,-3.466,8.404,-3.398,8.404,12,confederate
40,0,-3.1395,9.42275,-3.269,9.5205,9,confederate
40,1,-3.806,9.076,-3.441,8.509,9,confederate
41,0,-3.1935,9.55475,-3.532,10.0125,9,confederate
41,1,-3.573,8.590250000000001,-3.441,8.509,15,confederate
42,0,-3.1615,9.42175,-3.405,9.589,9,confederate
42,1,-3.6995,8.7835,-3.529,8.727,9,confederate
43,0,-3.159,9.199,-3.223,9.076,9,confederate
43,1,-3.5965,8.618,-3.297,8.201,9,confederate
44,0,-3.035,9.076,-3.181,8.957,12,confederate
44,1,-3.372,8.201,-3.316,8.201,3,confederate
45,0,-3.092,9.199,-3.14,8.727,12,confederate
45,1,-3.365,7.916,-3.379,8.404,3,confederate
46,0,-3.357,9.454,-3.402,9.454,12,confederate
46,1,-3.3385,7.939500000000001,-3.421,8.509,6,confederate
47,0,-3.1585,9.42175,-3.181,8.84,15,confederate
47,1,-3.661,8.8985,-3.601,8.957,6,confederate
48,0,-3.244,9.199,-3.31,9.199,12,confederate
48,1,-3.495,8.594249999999999,-3.552,8.7835,6,confederate
49,0,-3.1905,9.325,-3.267,9.199,15,confederate
49,1,-3.499,8.3525,-3.499,8.4565,3,confederate
50,0,-3.157,9.454,-3.099,8.727,15,confederate
50,1,-3.409,8.056,-3.332,8.008,3,confederate
51,0,-3.2685000000000004,9.454,-3.357,9.454,15,confederate
51,1,-3.621,8.616,-3.484,8.616,3,confederate
52,0,-3.2015,9.3895,-3.245,9.1375,15,confederate
52,1,-3.638,8.509,-3.47,8.201,3,confederate
53,0,-3.1695,9.325,-3.181,8.84,15,confederate
53,1,-3.513,8.301,-3.513,8.301,6,confederate
54,0,-3.2015,9.199,-3.266,9.076,15,confederate
54,1,-3.556,8.404,-3.556,8.404,3,confederate
55,0,-3.223,9.325,-3.266,9.076,15,confederate
55,1,-3.526,8.201,-3.49,8.201,3,confederate
56,0,-3.2555,9.325,-3.355,9.325,15,confederate
56,1,-3.593,8.3525,-3.277,8.104,3,confederate
57,0,-3.222,9.325,-3.31,9.199,12,confederate
57,1,-3.532,8.301,-3.532,8.301,3,confederate
58,0,-3.161,9.199,-3.244,9.0165,12,confederate
58,1,-3.7815,8.785,-3.837,9.0165,6,confederate
59,0,-3.265,9.325,-3.31,9.199,12,confederate
59,1,-3.621,8.43075,-3.621,8.509,6,confederate
60,0,-3.148,9.141,-3.16,8.7835,9,confederate
60,1,-3.661,8.43075,-3.661,8.509,6,confederate
61,0,-3.2445,9.262,-3.266,9.076,9,confederate
61,1,-3.3835,7.75775,-3.529,8.2025,12,participant
62,0,-3.2995,9.35725,-3.31,9.199,9,confederate
62,1,-3.4305,7.84675,-3.511,8.251,9,confederate
63,0,-3.2335000000000003,9.5205,-3.31,9.199,9,confederate
63,1,-3.444,7.9615,-3.444,7.9615,9,confederate
64,0,-3.323,9.3895,-3.357,9.454,9,confederate
64,1,-3.467,7.9855,-3.529,8.727,6,confederate
65,0,-3.246,9.55375,-3.335,9.454,9,confederate
65,1,-3.5305,8.3275,-3.55,8.728,6,confederate
66,0,-3.2485,9.724,-3.362,9.724,9,confederate
66,1,-3.52,8.4585,-3.527,8.6715,6,confederate
67,0,-3.158,9.454,-3.202,9.454,9,confederate
67,1,-3.6295,8.64825,-3.44,8.4565,6,confederate
68,0,-3.1255,9.454,-3.157,9.454,9,confederate
68,1,-3.4160000000000004,8.032,-3.483,8.5625,6,confederate
69,0,-3.2025,9.724,-3.248,9.724,9,confederate
69,1,-3.529,8.404,-3.529,8.728,6,confederate
70,0,-3.2135,9.68975,-3.225,9.724,9,confederate
70,1,-3.532,8.509,-3.529,8.728,12,confederate
71,0,-3.2375,9.7985,-3.345,10.085,9,confederate
71,1,-3.713,8.84,-3.623,8.958,9,confederate
72,0,-3.039,9.5205,-3.202,9.724,6,confederate
72,1,-3.427,8.431249999999999,-3.358,8.3525,3,confederate
73,0,-3.015,9.724,-3.111,9.724,6,confederate
73,1,-3.465,8.618,-3.445,8.618,3,confederate
74,0,-3.0105,9.587,-3.022,9.587,6,confederate
74,1,-3.4315,8.53575,-3.422,8.5625,3,confederate
75,0,-2.8435,9.169,-2.917,9.325,3,confederate
75,1,-3.443,8.431750000000001,-3.422,8.5625,3,confederate
76,0,-2.891,9.5205,-2.891,9.454,0,confederate
76,1,-3.421,8.23525,-3.421,8.509,3,confederate
77,0,-2.932,9.587,-2.932,9.587,0,confederate
77,1,-3.5775,8.727,-3.509,8.727,3,confederate
78,0,-2.8705,9.3895,-2.891,9.454,0,confederate
78,1,-3.407,8.201,-3.4,8.4565,6,confederate
79,0,-2.8205,9.55375,-2.909,9.587,0,confederate
79,1,-3.598,8.51,-3.358,8.3525,6,confederate
80,0,-2.786,9.62125,-2.971,9.865,0,confederate
80,1,-3.811,8.957,-3.421,8.509,6,confederate
81,0,-2.8895,9.7945,-2.924,9.865,0,confederate
81,1,-3.599,8.7275,-3.486,8.6715,3,confederate
82,0,-2.8125,9.75925,-2.857,9.7945,0,confederate
82,1,-4.115,9.724,-3.578,8.8985,6,confederate
83,0,-2.7585,9.724,-2.837,9.724,0,confederate
83,1,-3.79,8.957,-3.488,8.727,6,confederate
84,0,-2.791,9.75925,-2.814,9.724,0,confederate
84,1,-3.37,8.301,-3.28,8.3525,6,confederate
85,0,-2.7795,9.6555,-2.897,10.01,0,confederate
85,1,-3.919,9.262,-3.28,8.3525,6,confederate
86,0,-2.725,9.6555,-2.855,9.865,0,confederate
86,1,-3.753,9.078,-3.652,9.1375,6,confederate
87,0,-2.7990000000000004,9.7945,-2.789,9.7945,0,confederate
87,1,-3.487,8.6715,-3.534,8.842,6,confederate
88,0,-2.7455,9.6555,-2.768,9.724,0,confederate
88,1,-3.814,9.076,-3.879,9.9375,6,confederate
89,0,-2.723,9.68975,-2.768,9.724,0,confederate
89,1,-3.296,8.251,-3.24,8.301,6,confederate
90,0,-2.7525,9.82975,-2.809,9.865,0,confederate
90,1,-3.2815,8.25475,-3.182,8.1045,0,confederate
91,0,-2.762,9.865,-2.809,9.865,0,confederate
91,1,-3.3645,8.4565,-3.32,8.404,0,confederate
92,0,-2.6925,9.587,-2.729,9.587,0,confederate
92,1,-3.4285,8.5105,-3.403,8.616,0,confederate
93,0,-2.736,9.587,-2.729,9.587,0,confederate
93,1,-3.3965,8.4575,-3.362,8.5625,3,confederate
94,0,-2.7085,9.55375,-2.71,9.5205,0,confederate
94,1,-3.478,8.448,-3.471,8.84,3,confederate
95,0,-2.6900000000000004,9.55375,-2.692,9.454,0,confederate
95,1,-3.371,8.43075,-3.341,8.509,3,confederate
96,0,-2.725,9.62125,-2.768,9.724,0,confederate
96,1,-3.3475,8.2285,-3.091,7.8715,3,confederate
97,0,-2.7035,9.587,-2.729,9.587,0,confederate
97,1,-3.2805,8.32675,-3.259,8.301,3,confederate
