frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-3.179,9.7945,-3.179,9.865,0,confederate
0,1,-3.853,9.262,-3.762,8.84,9,confederate
1,0,-2.9785,9.587,-3.112,9.587,0,confederate
1,1,-3.705,8.727,-3.693,8.727,9,confederate
2,0,-2.9495,9.3895,-3.027,9.325,0,confederate
2,1,-3.979,9.265,-3.819,9.076,9,confederate
3,0,-3.038,9.55375,-3.134,9.587,0,confederate
3,1,-3.742,8.84,-3.72,8.84,9,confederate
4,0,-2.9375,9.32725,-3.113,9.454,3,confederate
4,1,-3.635,8.727,-3.672,8.727,9,confederate
5,0,-3.123,9.587,-3.202,9.724,6,confederate
5,1,-3.845,8.616,-3.845,9.1375,9,confederate
6,0,-3.091,9.454,-3.157,9.587,9,confederate
6,1,-3.741,8.5655,-3.741,8.84,9,confederate
7,0,-3.168,9.724,-3.202,9.724,9,confederate
7,1,-3.79,8.7865,-3.79,8.957,9,confederate
8,0,-3.2135,9.865,-3.248,9.865,9,confederate
8,1,-3.794,9.0165,-3.794,9.0165,9,confederate
9,0,-3.124,9.6555,-3.248,9.865,9,confederate
9,1,-3.819,9.076,-3.819,9.076,9,confederate
10,0,-3.028,9.55375,-3.157,9.587,9,confederate
10,1,-3.934,9.199,-3.934,9.454,9,confederate
11,0,-3.112,9.587,-3.272,9.9375,0,confederate
11,1,-3.781,9.076,-3.781,9.1375,6,confederate
12,0,-2.987,9.2935,-3.071,9.325,3,confederate
12,1,-3.926,9.3265,-3.881,9.3265,6,confederate
13,0,-3.1685,9.724,-3.203,9.726,3,confederate
13,1,-3.679,8.84,-3.679,8.84,9,confederate
14,0,-3.1345,9.5205,-3.321,10.085,3,confederate
14,1,-3.681,8.509,-3.585,8.616,9,confederate
15,0,-2.9375,9.2305,-3.092,9.3895,3,confederate
15,1,-3.777,8.957,-3.777,9.076,9,confederate
16,0,-3.273,9.975,-3.397,10.316,3,confederate
16,1,-4.067,9.454,-4.018,9.6555,9,confederate
17,0,-3.081,9.69575,-3.297,10.0125,3,confederate
17,1,-3.905,9.076,-3.588,8.6715,9,confederate
18,0,-3.372,10.2765,-3.475,10.554,3,confederate
