frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.519,9.867,-2.587,10.085,0,confederate
0,1,-3.2545,8.92975,-3.266,9.076,6,confederate
1,0,-2.514,9.90125,-2.568,10.01,0,confederate
1,1,-3.111,8.53575,-3.061,8.509,6,confederate
2,0,-2.5195,9.866,-2.568,10.01,3,confederate
2,1,-3.223,8.92825,-3.425,9.5205,6,confederate
3,0,-2.4545,9.724,-2.495,9.724,3,confederate
3,1,-3.1815,8.7865,-3.223,8.957,6,confederate
4,0,-2.4425,9.724,-2.549,9.9375,3,confederate
4,1,-3.474,9.456,-3.474,9.6555,3,confederate
5,0,-2.4085,9.5205,-2.477,9.6555,3,confederate
5,1,-3.082,8.616,-3.12,8.6715,3,confederate
6,0,-2.2935,9.3895,-2.403,9.454,6,confederate
6,1,-3.026,8.301,-3.1,8.616,3,confederate
7,0,-2.4145,9.68975,-2.508,9.865,6,confederate
7,1,-3.101,8.7835,-3.181,8.84,3,confederate
8,0,-2.4245,9.76025,-2.508,9.865,3,confederate
8,1,-3.266,9.076,-3.266,9.076,3,confederate
9,0,-2.386,9.6555,-2.508,9.865,6,confederate
9,1,-3.063,8.616,-3.1,8.616,3,confederate
10,0,-2.432,9.7945,-2.508,9.865,9,confederate
10,1,-3.289,9.078,-3.289,9.262,3,confederate
11,0,-2.435,9.75925,-2.472,9.724,9,confederate
11,1,-3.377,9.325,-3.357,9.454,3,confederate
12,0,-2.364,9.5205,-2.472,9.724,9,confederate
12,1,-3.14,8.84,-3.139,8.84,3,confederate
13,0,-2.418,9.68975,-2.472,9.724,9,confederate
13,1,-3.098,8.727,-3.099,8.727,3,confederate
14,0,-2.4695,9.942,-2.583,10.16,9,confederate
14,1,-3.063,8.618,-3.223,8.957,3,confederate
15,0,-2.361,9.587,-2.437,9.587,9,confederate
15,1,-3.139,8.7835,-3.181,8.84,3,confederate
16,0,-2.386,9.6555,-2.472,9.724,9,confederate
16,1,-2.988,8.4565,-3.16,8.7835,3,confederate
17,0,-2.2785,9.42175,-2.437,9.587,9,confederate
17,1,-2.99,8.2025,-3.024,8.404,3,confederate
18,0,-2.4275,9.83075,-2.544,10.01,9,confederate
18,1,-3.181,8.727,-3.223,8.957,3,confederate
19,0,-2.311,9.48725,-2.508,9.865,9,confederate
19,1,-3.181,8.727,-3.079,8.6715,3,confederate
20,0,-2.386,9.62225,-2.544,10.01,9,confederate
20,1,-3.181,9.0165,-3.223,9.076,3,confederate
21,0,-2.303,9.48725,-2.449,9.724,6,confederate
21,1,-3.202,8.8985,-3.202,9.0165,3,confederate
22,0,-2.3415,9.587,-2.526,9.9375,6,confederate
22,1,-3.082,8.727,-3.181,8.84,3,confederate
23,0,-2.401,9.75925,-2.583,10.16,9,confederate
23,1,-3.202,9.076,-3.266,9.076,3,confederate
24,0,-2.336,9.48825,-2.526,9.9375,9,confederate
24,1,-3.453,8.958,-3.453,9.724,3,confederate
25,0,-2.3865,9.724,-2.472,9.724,9,confederate
25,1,-3.16,8.7835,-3.181,8.957,3,confederate
26,0,-2.3095,9.455,-2.508,9.865,6,confederate
26,1,-3.311,9.325,-3.311,9.325,3,confederate
27,0,-2.3665,9.6555,-2.472,9.724,6,confederate
27,1,-3.312,9.076,-3.404,9.587,3,confederate
28,0,-2.4445,9.90125,-2.544,10.01,3,confederate
28,1,-3.16,8.8985,-3.16,8.8985,3,confederate
29,0,-2.418,9.724,-2.472,9.724,3,confederate
29,1,-3.2445000000000004,9.04725,-3.245,9.1375,6,confederate
30,0,-2.4175,9.69075,-2.544,10.01,3,confederate
30,1,-3.181,8.81175,-3.202,9.0165,6,confederate
31,0,-2.369,9.587,-2.508,9.865,0,confederate
31,1,-3.1105,8.617,-3.31,9.199,6,confederate
32,0,-2.3,9.455,-2.472,9.724,3,confederate
32,1,-3.131,8.6745,-3.181,8.84,6,confederate
33,0,-2.4235,9.75925,-2.508,9.865,0,confederate
33,1,-3.2445000000000004,8.957,-3.245,9.1375,6,confederate
34,0,-2.4855,9.9375,-2.508,9.865,0,confederate
34,1,-3.244,8.98675,-3.289,9.262,6,confederate
35,0,-2.3925,9.68975,-2.472,9.724,0,confederate
35,1,-3.234,8.9575,-3.267,9.199,6,confederate
36,0,-2.359,9.6555,-2.49,9.7945,0,confederate
36,1,-3.202,9.0165,-3.202,9.0165,3,confederate
37,0,-2.427,9.75925,-2.503,9.9375,0,confederate
37,1,-3.16,8.8985,-3.06,8.616,3,confederate
38,0,-2.375,9.587,-2.449,9.724,0,confederate
38,1,-3.18,8.957,-3.119,8.7835,3,confederate
39,0,-2.4255,9.726,-2.503,9.9375,0,confederate
39,1,-3.139,8.4585,-3.139,8.84,3,confederate
40,0,-2.4265,9.865,-2.503,9.9375,0,confederate
40,1,-3.058,8.6745,-3.139,8.84,3,confederate
41,0,-2.4125,9.68975,-2.467,9.7945,0,confederate
41,1,-3.096,8.7835,-3.119,8.7835,3,confederate
42,0,-2.4255,9.69075,-2.467,9.7945,0,confederate
42,1,-3.266,9.199,-3.334,9.3895,3,confederate
43,0,-2.3920000000000003,9.62125,-2.432,9.6555,0,confederate
43,1,-3.224,8.957,-3.267,9.199,3,confederate
44,0,-2.45,9.865,-2.526,9.9375,0,confederate
44,1,-3.269,8.84,-3.334,9.3895,3,confederate
45,0,-2.3920000000000003,9.62125,-2.472,9.724,0,confederate
45,1,-3.16,8.727,-3.16,8.8985,3,confederate
46,0,-2.4495,9.866,-2.544,10.01,0,confederate
46,1,-3.181,9.0165,-3.202,9.076,3,confederate
47,0,-2.3475,9.454,-2.472,9.724,3,confederate
47,1,-3.024,8.509,-2.946,8.3525,3,confederate
48,0,-2.4615,9.865,-2.583,10.16,3,confederate
48,1,-3.061,8.616,-3.098,8.84,3,confederate
49,0,-2.449,9.724,-2.472,9.724,3,confederate
49,1,-3.081,8.727,-3.058,8.727,3,confederate
50,0,-2.4725,9.865,-2.544,10.01,3,confederate
