frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-3.179,9.587,-3.179,9.587,3,confederate
0,1,-3.695,8.84,-3.695,9.1375,12,confederate
1,0,-2.8735,9.18525,-2.913,8.7835,3,confederate
1,1,-3.695,8.842,-3.695,9.1375,12,confederate
2,0,-3.2135,9.68975,-3.225,9.724,3,confederate
2,1,-3.745,8.728,-3.745,9.262,12,confederate
3,0,-3.225,9.724,-3.225,9.724,3,confederate
3,1,-3.745,8.728,-3.745,9.262,12,confederate
4,0,-3.1,9.6555,-3.179,9.587,6,confederate
4,1,-3.67,8.728,-3.67,9.076,12,confederate
5,0,-3.0585,9.62225,-3.114,9.3895,6,confederate
5,1,-3.646,8.6745,-3.646,9.0165,12,confederate
6,0,-3.332,10.08625,-3.321,10.0125,6,confederate
6,1,-3.779,8.9015,-3.72,9.199,12,confederate
7,0,-3.0575,9.5205,-3.135,9.454,6,confederate
7,1,-3.745,8.842,-3.745,9.262,12,confederate
8,0,-3.179,9.62125,-3.179,9.587,9,confederate
8,1,-3.695,8.842,-3.695,9.1375,12,confederate
9,0,-3.225,9.724,-3.225,9.724,9,confederate
9,1,-3.803,9.2005,-3.745,9.262,12,confederate
10,0,-3.114,9.454,-3.135,9.454,9,confederate
10,1,-3.754,9.078,-3.671,9.078,12,confederate
11,0,-3.225,9.724,-3.225,9.724,9,confederate
11,1,-3.721,8.958,-3.721,9.2005,12,confederate
12,0,-3.0055,9.199,-3.051,9.199,9,confederate
12,1,-4.124,9.6555,-3.72,9.199,12,confederate
13,0,-3.1245,9.589,-3.135,9.454,9,confederate
13,1,-3.671,9.078,-3.671,9.078,12,confederate
14,0,-3.18,9.724,-3.225,9.724,9,confederate
14,1,-3.754,9.0165,-3.72,9.199,12,confederate
15,0,-3.2135,9.69075,-3.296,9.9375,9,confederate
15,1,-3.931,9.3895,-3.72,9.199,12,confederate
16,0,-3.1825,9.7945,-3.272,9.865,9,confederate
16,1,-3.985,9.454,-3.72,9.199,12,confederate
17,0,-3.179,9.587,-3.179,9.587,9,confederate
17,1,-3.707,9.0165,-3.67,9.076,12,confederate
18,0,-3.272,9.865,-3.272,9.865,9,confederate
18,1,-3.67,9.076,-3.67,9.076,12,confederate
19,0,-2.849,9.00375,-2.84,8.5625,9,confederate
19,1,-3.797,8.958,-3.797,9.3895,12,confederate
20,0,-3.125,9.587,-3.093,9.325,9,confederate
20,1,-3.695,9.0195,-3.695,9.1375,12,confederate
21,0,-3.0045,9.454,-3.03,9.1375,9,confederate
21,1,-3.754,9.078,-3.745,9.262,12,confederate
22,0,-3.191,9.75925,-3.225,9.724,9,confederate
22,1,-4.067,9.456,-3.745,9.262,12,confederate
23,0,-3.225,9.724,-3.225,9.724,9,confederate
23,1,-3.771,9.078,-3.771,9.325,12,confederate
24,0,-3.126,9.587,-3.179,9.587,9,confederate
24,1,-3.695,8.958,-3.695,9.1375,12,confederate
25,0,-3.26,9.82975,-3.248,9.7945,9,confederate
25,1,-3.823,9.078,-3.823,9.454,12,confederate
26,0,-3.122,9.62125,-3.202,9.6555,9,confederate
26,1,-3.745,8.842,-3.745,9.262,12,confederate
27,0,-3.111,9.62125,-3.202,9.6555,9,confederate
27,1,-3.779,9.1375,-3.695,9.1375,12,confederate
28,0,-3.225,9.724,-3.248,9.7945,9,confederate
28,1,-3.771,9.325,-3.771,9.325,12,confederate
29,0,-3.1245,9.587,-3.179,9.587,9,confederate
29,1,-3.804,9.1375,-3.771,9.325,12,confederate
30,0,-3.2135,9.6555,-3.225,9.724,9,confederate
30,1,-3.797,9.325,-3.797,9.3895,12,confederate
31,0,-3.0825,9.35725,-3.114,9.3895,9,confederate
31,1,-3.772,9.1375,-3.772,9.3265,12,confederate
32,0,-3.1905,9.587,-3.225,9.724,9,confederate
32,1,-3.905,9.3895,-3.824,9.456,12,confederate
33,0,-3.0935,9.5205,-3.157,9.5205,9,confederate
33,1,-3.931,9.3265,-3.797,9.3895,12,confederate
34,0,-3.0575,9.48725,-3.157,9.5205,6,confederate
34,1,-3.878,9.3895,-3.878,9.589,12,confederate
35,0,-3.1465,9.587,-3.179,9.587,9,confederate
35,1,-3.932,9.6555,-3.932,9.724,12,confederate
36,0,-3.2135,9.724,-3.225,9.724,9,confederate
36,1,-4.012,9.587,-3.961,9.7945,12,confederate
37,0,-3.1,9.587,-3.179,9.587,9,confederate
37,1,-3.932,9.587,-3.878,9.589,12,confederate
38,0,-3.068,9.454,-3.135,9.454,9,confederate
38,1,-3.932,9.3895,-3.932,9.724,9,confederate
39,0,-3.237,9.76025,-3.272,9.865,9,confederate
39,1,-3.932,9.2005,-3.932,9.724,9,confederate
40,0,-3.2135,9.6555,-3.225,9.724,9,confederate
40,1,-3.961,9.0165,-3.961,9.7945,12,confederate
41,0,-3.225,9.724,-3.225,9.724,9,confederate
41,1,-3.932,8.728,-3.932,9.724,9,confederate
42,0,-3.0575,9.35725,-3.114,9.3895,9,confederate
42,1,-3.877,8.618,-3.877,9.587,9,confederate
43,0,-3.0815,9.5205,-3.114,9.3895,9,confederate
43,1,-3.872,8.7835,-3.872,9.5205,9,confederate
44,0,-3.248,9.7945,-3.248,9.7945,6,confederate
44,1,-3.899,8.618,-3.899,9.587,9,confederate
45,0,-3.134,9.587,-3.179,9.587,6,confederate
45,1,-3.899,8.6715,-3.899,9.587,9,confederate
46,0,-3.2025,9.75925,-3.248,9.7945,9,confederate
46,1,-3.899,8.842,-3.899,9.587,9,confederate
47,0,-3.1355,9.587,-3.179,9.587,6,confederate
47,1,-3.9,8.842,-3.9,9.589,9,confederate
48,0,-3.179,9.587,-3.179,9.587,9,confederate
48,1,-3.922,8.84,-3.922,9.587,9,confederate
49,0,-3.225,9.724,-3.225,9.724,9,confederate
49,1,-3.935,8.6745,-3.978,9.724,9,confederate
50,0,-3.191,9.6555,-3.225,9.724,9,confederate
50,1,-3.837,8.6715,-3.922,9.587,9,confederate
51,0,-3.1245,9.55375,-3.157,9.5205,6,confederate
51,1,-3.922,8.6745,-3.922,9.587,9,confederate
52,0,-3.2595,9.7945,-3.272,9.865,6,confederate
52,1,-3.95,8.728,-3.95,9.6555,9,confederate
