frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-7.305,8.1525,-7.252,8.104,0,participant
0,1,-2.869,10.16,-2.869,10.16,3,confederate
0,2,-3.357,9.1375,-3.288,9.1375,6,confederate
1,0,-7.158,8.104,-7.064,7.915,0,participant
1,1,-2.786,9.97375,-2.826,10.01,3,confederate
1,2,-3.37,9.325,-3.355,9.325,6,confederate
2,0,-7.3485,8.48775,-7.027,7.915,0,participant
2,1,-2.8075,9.90125,-2.826,10.01,3,confederate
2,2,-3.123,8.616,-3.1,8.616,6,confederate
3,0,-7.2795,8.35375,-7.072,8.008,0,participant
3,1,-2.623,9.587,-2.707,9.587,3,confederate
3,2,-3.084,8.301,-2.898,8.056,6,confederate
4,0,-7.3235,8.31325,-7.058,8.056,0,participant
4,1,-2.7955,10.01,-2.785,9.865,3,confederate
4,2,-3.161,8.84,-3.139,8.84,6,confederate
5,0,-7.077,8.1525,-6.997,8.008,0,participant
5,1,-2.768,10.01,-2.826,10.01,9,confederate
5,2,-3.223,8.5625,-3.223,9.076,3,confederate
6,0,-7.016,8.008,-6.997,8.008,0,participant
6,1,-2.8905000000000003,10.314,-2.869,10.16,9,confederate
6,2,-3.139,8.618,-3.139,8.84,3,confederate
7,0,-7.2175,8.13175,-7.19,8.251,0,participant
7,1,-2.589,9.46225,-2.598,9.2005,9,confederate
7,2,-3.102,8.5625,-3.041,8.5625,3,confederate
8,0,-6.7615,7.78,-6.704,7.735,0,participant
8,1,-2.717,9.724,-2.746,9.724,9,confederate
8,2,-3.022,8.251,-3.022,8.509,3,confederate
9,0,-6.8435,7.892250000000001,-6.866,8.008,0,participant
9,1,-2.681,9.865,-2.785,9.865,9,confederate
9,2,-3.162,8.301,-3.311,9.325,3,confederate
10,0,-6.846,7.939500000000001,-6.869,8.056,0,participant
10,1,-2.7275,9.9375,-2.826,10.01,9,confederate
10,2,-3.181,8.727,-3.181,8.957,3,confederate
11,0,-6.6915,7.89275,-6.673,7.8695,0,participant
11,1,-2.7,9.9375,-2.785,9.865,9,confederate
11,2,-3.223,8.957,-3.223,9.076,3,confederate
12,0,-6.991,8.18675,-7.153,8.4585,0,participant
12,1,-2.7990000000000004,9.942,-2.869,10.16,9,confederate
12,2,-3.181,8.727,-3.181,8.957,3,confederate
13,0,-6.656000000000001,7.89275,-6.618,7.8695,0,participant
13,1,-2.5955,9.68975,-2.726,9.6555,9,confederate
13,2,-2.919,8.201,-2.861,8.056,3,confederate
14,0,-6.765000000000001,7.98475,-6.659,8.008,0,participant
14,1,-2.642,9.865,-2.785,9.865,9,confederate
14,2,-3.081,8.5625,-3.081,8.5625,3,confederate
15,0,-6.99,8.303,-6.762,8.201,0,participant
15,1,-2.7885,10.0475,-2.848,10.085,9,confederate
15,2,-3.024,8.404,-3.024,8.404,3,confederate
16,0,-6.9385,8.29525,-6.508,7.916,0,participant
16,1,-2.785,9.865,-2.785,9.865,9,confederate
16,2,-3.12,8.616,-3.003,8.4565,3,confederate
17,0,-6.792999999999999,8.4565,-6.85,8.404,0,participant
17,1,-2.6985,9.724,-2.746,9.724,9,confederate
17,2,-3.078,8.6715,-3.079,8.6715,3,confederate
18,0,-7.055,8.880749999999999,-7.412,9.199,0,participant
18,1,-2.736,9.7945,-2.746,9.724,9,confederate
18,2,-3.043,8.404,-2.93,8.251,3,confederate
19,0,-6.8015,8.617,-6.902,8.616,0,participant
19,1,-2.8165,10.01125,-2.827,10.0125,9,confederate
19,2,-3.181,8.6715,-3.181,8.84,3,confederate
20,0,-6.6,8.3275,-6.732,8.404,0,participant
20,1,-2.6925,9.90125,-2.806,9.9375,9,confederate
20,2,-3.039,8.509,-3.06,8.616,3,confederate
21,0,-6.667,8.405,-6.693,8.405,0,participant
21,1,-2.651,9.589,-2.651,9.3895,9,confederate
21,2,-3.043,8.404,-2.895,8.1525,3,confederate
22,0,-6.368,7.9615,-6.321,7.9615,0,participant
22,1,-2.673,9.82975,-2.785,9.865,9,confederate
22,2,-3.002,8.509,-3.022,8.509,3,confederate
23,0,-6.225,7.8245,-6.23,7.8695,0,participant
23,1,-2.8145,10.01,-2.826,10.01,9,confederate
23,2,-3.119,8.616,-3.119,8.7835,3,confederate
24,0,-6.464,8.20275,-6.493,8.301,0,participant
24,1,-2.65,9.865,-2.785,9.865,9,confederate
24,2,-3.078,8.51,-3.081,8.5625,3,confederate
25,0,-6.5965,8.459,-6.64,8.5655,0,participant
25,1,-2.706,9.865,-2.785,9.865,3,confederate
25,2,-3.144,8.404,-3.181,8.84,6,confederate
26,0,-6.626,8.509,-6.596,8.509,0,participant
26,1,-2.7735000000000003,9.865,-2.785,9.865,3,confederate
26,2,-3.14,8.6715,-3.12,8.6715,6,confederate
27,0,-6.377000000000001,8.22675,-6.339,8.2025,0,participant
27,1,-2.669,9.7945,-2.746,9.724,3,confederate
27,2,-3.181,8.84,-3.181,8.84,6,confederate
28,0,-6.1265,7.915,-6.117,7.915,0,participant
28,1,-2.7345,9.9375,-2.746,9.724,3,confederate
28,2,-3.223,8.8985,-3.223,8.957,6,confederate
29,0,-6.4165,8.3275,-6.456,8.404,0,participant
29,1,-2.6495,9.90125,-2.785,9.865,3,confederate
29,2,-3.245,8.957,-3.223,8.957,6,confederate
30,0,-6.3405000000000005,8.2805,-6.436,8.4565,0,participant
30,1,-2.64,9.83075,-2.746,9.724,3,confederate
30,2,-3.355,8.958,-3.355,9.325,6,confederate
31,0,-6.087,8.13025,-6.279,8.3525,0,participant
