frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-7.465,11.0255,-7.551,11.159,0,participant
0,1,-1.246,9.076,-1.285,9.076,3,confederate
0,2,-2.651,9.3895,-2.651,9.3895,9,confederate
1,0,-7.268,10.7205,-7.229,10.7205,0,participant
1,1,-1.27,9.04625,-1.285,9.076,3,confederate
1,2,-2.72,9.454,-2.669,9.454,9,confederate
2,0,-7.4625,11.159,-7.498,11.159,0,participant
2,1,-1.223,8.93225,-1.293,9.1375,3,confederate
2,2,-2.684,9.325,-2.633,9.325,9,confederate
3,0,-7.0345,10.59625,-7.017,10.554,0,participant
3,1,-1.1375000000000002,8.869250000000001,-1.259,8.8985,3,confederate
3,2,-2.684,9.454,-2.669,9.454,9,confederate
4,0,-7.2085,10.9835,-7.159,10.805,0,participant
4,1,-1.234,9.0165,-1.285,9.076,3,confederate
4,2,-2.684,9.325,-2.633,9.325,9,confederate
5,0,-7.362500000000001,11.393,-7.8,11.942,0,participant
5,1,-1.2115,9.076,-1.268,8.957,3,confederate
5,2,-2.684,9.325,-2.633,9.325,9,confederate
6,0,-7.1850000000000005,10.85125,-7.173,10.982,0,participant
6,1,-1.235,9.04625,-1.302,9.199,3,confederate
6,2,-2.669,9.393,-2.669,9.454,9,confederate
7,0,-7.275,10.98325,-7.289,11.159,0,participant
7,1,-1.2315,9.0165,-1.255,9.0165,3,confederate
7,2,-2.669,9.454,-2.669,9.454,9,confederate
8,0,-6.9435,10.84975,-7.094,10.979,0,participant
8,1,-1.2275,9.076,-1.263,9.076,3,confederate
8,2,-2.758,9.454,-2.651,9.3895,9,confederate
9,0,-6.8055,10.5145,-6.847,10.636,0,participant
9,1,-1.1989999999999998,8.92775,-1.298,9.325,3,confederate
9,2,-2.705,9.5205,-2.688,9.5205,9,confederate
10,0,-6.7635000000000005,10.764,-6.884,10.892,0,participant
10,1,-1.2355,9.10675,-1.272,9.1375,3,confederate
10,2,-2.673,9.3895,-2.651,9.3895,9,confederate
11,0,-6.734500000000001,10.682,-6.833,10.892,0,participant
11,1,-1.2125,9.0165,-1.263,9.076,3,confederate
11,2,-2.742,9.454,-2.669,9.454,9,confederate
12,0,-6.747,10.764,-6.808,10.892,0,participant
12,1,-1.2494999999999998,9.199,-1.298,9.325,3,confederate
12,2,-2.742,9.3895,-2.651,9.3895,9,confederate
13,0,-7.0655,11.08325,-7.157,11.537,3,participant
13,1,-1.246,9.262,-1.298,9.325,3,confederate
13,2,-2.688,9.3895,-2.651,9.3895,9,confederate
14,0,-6.701499999999999,10.892,-7.24,11.942,3,participant
14,1,-1.2715,9.454,-1.316,9.454,3,confederate
14,2,-2.687,9.325,-2.633,9.325,9,confederate
15,0,-6.446,10.3545,-6.63,10.979,0,participant
15,1,-1.2535,9.454,-1.316,9.454,3,confederate
15,2,-2.705,9.325,-2.633,9.325,9,confederate
16,0,-6.361000000000001,10.554,-6.349,10.554,0,participant
16,1,-1.2075,9.078,-1.28,9.199,3,confederate
