frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.285,9.455,-2.449,9.726,0,confederate
0,1,-2.811,8.251,-2.792,8.301,9,confederate
1,0,-2.257,9.48725,-2.381,9.454,0,confederate
1,1,-2.974,8.51,-2.974,8.842,9,confederate
2,0,-2.324,9.587,-2.414,9.587,0,confederate
2,1,-3.013,8.4565,-3.013,8.958,6,confederate
3,0,-2.341,9.587,-2.432,9.6555,0,confederate
3,1,-2.861,8.301,-2.811,8.301,6,confederate
4,0,-2.4095,9.865,-2.544,10.01,0,confederate
4,1,-2.882,8.509,-2.882,8.509,6,confederate
5,0,-2.302,9.5205,-2.503,9.9375,3,confederate
5,1,-2.844,8.201,-2.794,8.251,6,confederate
6,0,-2.375,9.62225,-2.503,9.9375,0,confederate
6,1,-2.9,8.5625,-2.9,8.5625,6,confederate
7,0,-2.286,9.5205,-2.414,9.587,0,confederate
7,1,-2.866,8.301,-2.866,8.404,6,confederate
8,0,-2.3520000000000003,9.6555,-2.467,9.7945,0,confederate
8,1,-2.93,8.727,-2.976,8.727,6,confederate
9,0,-2.4035,9.724,-2.484,9.865,0,confederate
9,1,-2.93,8.6715,-2.957,8.6715,6,confederate
10,0,-2.456,9.867,-2.521,10.01,0,confederate
10,1,-3.01,8.6715,-3.034,8.957,6,confederate
11,0,-2.4215,9.6555,-2.449,9.724,0,confederate
11,1,-3.01,8.846,-3.014,8.8985,6,confederate
12,0,-2.341,9.587,-2.467,9.7945,0,confederate
12,1,-2.995,8.7835,-2.995,8.7835,6,confederate
13,0,-2.432,9.7965,-2.503,9.9375,0,confederate
13,1,-3.051,8.7865,-3.095,9.076,6,confederate
14,0,-2.2455,9.3895,-2.381,9.454,0,confederate
14,1,-2.976,8.4565,-2.976,8.727,6,confederate
15,0,-2.3665000000000003,9.6565,-2.503,9.9375,0,confederate
15,1,-2.943,8.45925,-2.938,8.616,9,confederate
16,0,-2.2175,9.325,-2.348,9.325,0,confederate
16,1,-2.925,8.405000000000001,-2.902,8.509,9,confederate
17,0,-2.3520000000000003,9.7945,-2.503,9.9375,0,confederate
17,1,-2.9895,8.590250000000001,-2.957,8.6715,9,confederate
18,0,-2.2795,9.55375,-2.414,9.587,0,confederate
18,1,-2.889,8.3025,-2.866,8.404,9,confederate
19,0,-2.369,9.589,-2.467,9.7945,0,confederate
19,1,-2.916,8.38175,-2.92,8.5625,9,confederate
20,0,-2.341,9.587,-2.449,9.724,0,confederate
20,1,-2.898,8.3275,-2.866,8.404,9,confederate
21,0,-2.3235,9.724,-2.467,9.7945,0,confederate
21,1,-2.912,8.251000000000001,-2.866,8.404,9,confederate
22,0,-2.4015,9.75925,-2.49,9.7945,3,confederate
22,1,-2.9530000000000003,8.489,-2.976,8.727,9,confederate
23,0,-2.3495,9.62125,-2.508,9.865,3,confederate
23,1,-2.9160000000000004,8.379999999999999,-2.902,8.509,9,confederate
24,0,-2.198,9.16825,-2.354,9.262,3,confederate
24,1,-2.9635,8.5205,-3.015,8.84,9,confederate
25,0,-2.2590000000000003,9.55375,-2.437,9.587,3,confederate
25,1,-2.984,8.404,-2.831,8.301,9,confederate
26,0,-2.358,9.5205,-2.432,9.6555,0,confederate
26,1,-2.8855,8.251000000000001,-2.797,8.201,9,confederate
27,0,-2.3065,9.6555,-2.467,9.7945,0,confederate
27,1,-2.95,8.509,-2.918,8.616,9,confederate
28,0,-2.2745,9.55375,-2.454,9.6555,3,confederate
28,1,-2.898,8.32875,-2.884,8.4565,9,confederate
29,0,-2.28,9.3895,-2.403,9.454,3,confederate
29,1,-2.9450000000000003,8.405000000000001,-2.9,8.5625,9,confederate
30,0,-2.3195,9.55375,-2.437,9.587,3,confederate
30,1,-3.0315000000000003,8.616,-2.918,8.616,9,confederate
31,0,-2.4045,9.69075,-2.508,9.865,3,confederate
31,1,-3.028,8.6755,-3.034,8.957,9,confederate
32,0,-2.389,9.75925,-2.508,9.865,3,confederate
32,1,-2.96,8.568,-2.954,8.7835,9,confederate
33,0,-2.2625,9.454,-2.403,9.454,3,confederate
33,1,-2.944,8.48275,-2.792,8.301,9,confederate
