frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-1.461,9.3895,-1.537,9.587,3,confederate
0,1,-2.969,9.1375,-2.655,8.957,6,confederate
1,0,-1.527,9.5245,-1.559,9.724,3,confederate
1,1,-2.969,9.3895,-2.819,9.587,6,confederate
2,0,-1.387,9.2935,-1.495,9.325,3,confederate
2,1,-3.046,9.724,-2.966,10.085,6,confederate
3,0,-1.3805,9.076,-1.465,9.1375,6,confederate
3,1,-3.067,9.724,-2.883,9.724,6,confederate
4,0,-1.4715,9.2935,-1.495,9.325,9,confederate
4,1,-3.046,9.587,-2.906,9.726,6,confederate
5,0,-1.294,8.785,-1.39,8.6715,9,confederate
5,1,-2.98,9.325,-2.764,9.325,6,confederate
6,0,-1.4085,9.16825,-1.455,9.076,9,confederate
6,1,-2.96,9.5205,-2.8,9.5205,6,confederate
7,0,-1.4485,9.16825,-1.465,9.1375,9,confederate
7,1,-2.888,9.587,-2.819,9.587,3,confederate
8,0,-1.4135,9.199,-1.475,9.199,9,confederate
8,1,-2.917,9.3895,-2.78,9.454,3,confederate
9,0,-1.428,9.262,-1.475,9.199,9,confederate
9,1,-2.923,9.325,-2.923,9.9375,3,confederate
10,0,-1.491,9.725,-1.605,10.01,9,confederate
10,1,-2.999,9.454,-2.758,9.454,3,confederate
11,0,-1.4845000000000002,9.55375,-1.526,9.5205,9,confederate
11,1,-2.898,9.454,-2.778,9.5205,6,confederate
12,0,-1.514,9.7965,-1.605,10.01,9,confederate
12,1,-2.917,9.325,-2.72,9.325,3,confederate
13,0,-1.2879999999999998,9.0165,-1.445,9.0165,9,confederate
13,1,-2.945,9.454,-2.662,9.199,6,confederate
14,0,-1.419,9.358,-1.548,9.6555,9,confederate
14,1,-2.964,9.454,-2.736,9.454,6,confederate
15,0,-1.3995000000000002,9.262,-1.537,9.587,9,confederate
15,1,-2.979,9.6555,-2.794,9.6555,6,confederate
16,0,-1.306,8.87025,-1.408,8.7835,9,confederate
16,1,-2.837,9.3895,-2.717,9.3895,3,confederate
17,0,-1.483,9.3895,-1.495,9.325,9,confederate
17,1,-2.855,9.587,-2.834,9.7945,3,confederate
18,0,-1.315,8.98675,-1.445,9.0165,9,confederate
18,1,-2.852,9.325,-2.774,9.587,3,confederate
19,0,-1.4185,9.199,-1.475,9.199,9,confederate
19,1,-2.896,9.7945,-2.834,9.7945,3,confederate
20,0,-1.5115,9.9375,-1.705,10.636,9,confederate
20,1,-2.818,8.958,-2.592,8.958,3,confederate
21,0,-1.3455,9.076,-1.455,9.076,9,confederate
21,1,-2.865,9.6555,-2.814,9.724,3,confederate
22,0,-1.3705,9.199,-1.475,9.199,9,confederate
22,1,-2.865,9.325,-2.655,9.325,3,confederate
23,0,-1.3455,9.2005,-1.516,9.454,9,confederate
23,1,-2.769,9.325,-2.655,9.325,3,confederate
24,0,-1.3279999999999998,9.0165,-1.436,8.957,9,confederate
24,1,-2.936,9.454,-2.692,9.454,3,confederate
25,0,-1.6705,10.73325,-1.85,11.537,9,confederate
25,1,-2.809,9.325,-2.809,9.865,3,confederate
26,0,-1.5285,9.976,-1.654,10.314,9,confederate
26,1,-2.733,9.199,-2.655,9.325,3,confederate
27,0,-1.259,8.7375,-1.356,8.4585,9,confederate
27,1,-2.842,9.454,-2.71,9.5205,3,confederate
28,0,-1.426,9.1375,-1.475,9.199,9,confederate
28,1,-2.919,9.454,-2.673,9.3895,3,confederate
29,0,-1.359,9.04625,-1.399,8.728,9,confederate
29,1,-2.768,9.325,-2.729,9.587,6,confederate
30,0,-1.3544999999999998,9.1375,-1.475,9.199,9,confederate
30,1,-2.733,9.262,-2.637,9.262,3,confederate
31,0,-1.4405,9.62225,-1.629,10.16,9,confederate
31,1,-2.84,9.199,-2.55,8.957,6,confederate
32,0,-1.4615,9.35725,-1.495,9.325,9,confederate
32,1,-2.876,9.325,-2.655,9.325,6,confederate
33,0,-1.417,9.456,-1.537,9.587,9,confederate
33,1,-2.84,9.1375,-2.533,8.8985,6,confederate
34,0,-1.367,9.1375,-1.399,8.728,9,confederate
34,1,-2.856,9.199,-2.525,8.727,6,confederate
35,0,-1.452,9.325,-1.495,9.325,9,confederate
35,1,-2.784,9.3895,-2.736,9.454,6,confederate
36,0,-1.439,9.587,-1.537,9.587,9,confederate
36,1,-2.696,9.199,-2.662,9.199,6,confederate
37,0,-1.418,9.35725,-1.505,9.3895,9,confederate
37,1,-2.84,9.076,-2.479,8.5655,6,confederate
38,0,-1.4675,9.3895,-1.516,9.454,9,confederate
38,1,-2.802,9.076,-2.627,9.076,6,confederate
39,0,-1.3725,9.2935,-1.495,9.325,9,confederate
39,1,-2.699,9.262,-2.699,9.325,6,confederate
40,0,-1.488,9.587,-1.537,9.587,9,confederate
40,1,-2.898,9.587,-2.692,9.454,6,confederate
41,0,-1.369,9.262,-1.495,9.325,9,confederate
41,1,-2.859,9.5205,-2.789,9.7945,6,confederate
42,0,-1.4460000000000002,9.49025,-1.605,10.01,9,confederate
42,1,-2.878,9.454,-2.768,9.724,6,confederate
43,0,-1.368,9.0165,-1.417,8.84,9,confederate
43,1,-2.784,9.199,-2.501,8.7835,6,confederate
44,0,-1.3105,8.84,-1.408,8.7835,9,confederate
44,1,-2.73,9.076,-2.584,9.076,6,confederate
45,0,-1.37,9.262,-1.559,9.724,9,confederate
45,1,-2.766,9.076,-2.717,9.3895,6,confederate
46,0,-1.439,9.199,-1.465,9.1375,9,confederate
46,1,-2.802,9.325,-2.655,9.325,6,confederate
47,0,-1.428,9.3905,-1.605,10.01,9,confederate
47,1,-2.73,9.1375,-2.644,9.1375,6,confederate
48,0,-1.378,9.199,-1.455,9.076,9,confederate
48,1,-2.774,9.3895,-2.774,9.587,6,confederate
49,0,-1.419,9.10675,-1.465,9.1375,9,confederate
49,1,-2.751,9.262,-2.68,9.262,6,confederate
50,0,-1.3995,9.076,-1.455,9.076,9,confederate
50,1,-2.856,9.3895,-2.877,9.942,6,confederate
51,0,-1.5225,10.01275,-1.705,10.636,9,confederate
51,1,-2.786,9.325,-2.755,9.5205,6,confederate
52,0,-1.3995,9.2305,-1.485,9.262,9,confederate
52,1,-2.805,9.199,-2.627,9.076,6,confederate
53,0,-1.4405,9.10675,-1.455,9.076,9,confederate
53,1,-2.818,9.325,-2.855,9.867,6,confederate
54,0,-1.358,9.078,-1.436,8.957,9,confederate
54,1,-2.837,9.0165,-2.526,8.728,6,confederate
55,0,-1.377,9.2305,-1.559,9.724,9,confederate
55,1,-2.733,9.076,-2.68,9.262,6,confederate
56,0,-1.4085,9.076,-1.455,9.076,9,confederate
56,1,-2.794,9.076,-2.794,9.6555,6,confederate
57,0,-1.4055,9.2305,-1.475,9.199,9,confederate
57,1,-2.787,9.325,-2.699,9.325,6,confederate
58,0,-1.3915,9.3265,-1.537,9.587,9,confederate
58,1,-2.834,9.393,-2.834,9.7945,6,confederate
59,0,-1.5475,10.051,-1.629,10.16,9,confederate
59,1,-2.856,9.454,-2.736,9.454,6,confederate
60,0,-1.5539999999999998,9.83275,-1.605,10.01,9,confederate
60,1,-2.884,9.456,-2.855,9.867,6,confederate
61,0,-1.475,9.588,-1.548,9.6555,9,confederate
61,1,-2.849,9.199,-2.662,9.199,6,confederate
62,0,-1.383,9.262,-1.495,9.325,9,confederate
62,1,-2.878,9.199,-2.662,9.199,6,confederate
63,0,-1.4105,9.325,-1.516,9.454,9,confederate
63,1,-2.919,9.1375,-2.941,10.162,6,confederate
64,0,-1.5045000000000002,9.5245,-1.495,9.325,9,confederate
64,1,-2.888,9.325,-2.876,9.9375,6,confederate
65,0,-1.4415,9.325,-1.526,9.5205,9,confederate
65,1,-2.917,9.5205,-2.755,9.5205,6,confederate
66,0,-1.502,9.796500000000002,-1.641,10.237,9,confederate
66,1,-2.878,9.5205,-2.855,9.867,6,confederate
67,0,-1.553,9.9515,-1.666,10.393,9,confederate
67,1,-2.917,9.3895,-2.857,9.7945,6,confederate
68,0,-1.456,9.199,-1.475,9.199,9,confederate
68,1,-2.958,9.587,-2.797,9.587,6,confederate
69,0,-1.46,9.199,-1.475,9.199,9,confederate
69,1,-2.958,9.589,-2.857,9.7945,6,confederate
70,0,-1.4315,9.199,-1.475,9.199,9,confederate
70,1,-2.861,9.325,-2.739,9.3895,6,confederate
71,0,-1.4615,9.3895,-1.548,9.6555,9,confederate
71,1,-2.939,9.325,-2.684,9.199,6,confederate
72,0,-1.358,9.04625,-1.475,9.199,9,confederate
72,1,-2.939,9.262,-2.687,9.1375,3,confederate
73,0,-1.411,9.16825,-1.455,9.076,9,confederate
73,1,-2.919,9.199,-2.705,9.199,3,confederate
74,0,-1.576,10.2205,-1.732,10.805,6,confederate
74,1,-2.95,9.5205,-2.86,9.724,3,confederate
75,0,-1.5385,9.7425,-1.629,10.16,6,confederate
75,1,-3.05,9.9375,-3.012,10.162,3,confederate
76,0,-1.5015,9.726,-1.582,9.865,6,confederate
76,1,-2.903,9.325,-2.764,9.325,6,confederate
77,0,-1.298,8.98725,-1.427,8.8985,9,confederate
77,1,-2.923,9.325,-2.764,9.325,3,confederate
78,0,-1.549,9.6595,-1.516,9.454,9,confederate
