frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.7175,9.62125,-2.88,9.7945,3,confederate
0,1,-3.261,8.727,-3.324,8.727,3,confederate
1,0,-2.8105,9.587,-2.847,9.454,3,confederate
1,1,-3.345,8.727,-3.367,8.84,6,confederate
2,0,-3.015,10.16525,-3.154,10.393,3,confederate
2,1,-3.584,9.454,-3.601,9.454,9,confederate
3,0,-2.925,9.82975,-3.038,10.01,3,confederate
3,1,-3.371,8.957,-3.412,8.957,12,confederate
4,0,-2.9365,9.865,-2.994,9.865,3,confederate
4,1,-3.412,9.0165,-3.412,8.957,12,confederate
5,0,-3.0025,9.865,-3.061,10.01,3,confederate
5,1,-3.39,8.8985,-3.39,8.8985,12,confederate
6,0,-2.927,9.724,-3.017,9.865,3,confederate
6,1,-3.582,9.5205,-3.627,9.5205,9,confederate
7,0,-2.9275,9.75925,-3.084,10.085,3,confederate
7,1,-3.477,9.1375,-3.481,9.1375,9,confederate
8,0,-2.8565,9.724,-2.932,9.587,3,confederate
8,1,-3.322,8.616,-3.325,8.728,9,confederate
9,0,-2.9055,9.724,-2.951,9.724,3,confederate
9,1,-3.485,9.199,-3.504,9.199,9,confederate
10,0,-2.9465000000000003,9.865,-3.016,9.9375,3,confederate
10,1,-3.731,9.7945,-3.731,9.7945,9,confederate
11,0,-2.904,9.75925,-2.971,9.865,3,confederate
11,1,-3.412,8.8985,-3.412,8.958,9,confederate
12,0,-2.9235,9.865,-3.014,10.01,3,confederate
12,1,-3.461,9.1375,-3.481,9.1375,9,confederate
13,0,-2.7675,9.6555,-2.923,9.9375,3,confederate
13,1,-3.461,9.1375,-3.481,9.1375,9,confederate
14,0,-2.797,9.587,-2.797,9.587,3,confederate
14,1,-3.504,9.199,-3.504,9.199,9,confederate
15,0,-2.752,9.724,-2.855,9.865,3,confederate
15,1,-3.504,9.199,-3.504,9.199,6,confederate
16,0,-2.7055,9.587,-2.814,9.724,3,confederate
16,1,-3.262,8.6715,-3.412,8.958,6,confederate
17,0,-2.6740000000000004,9.587,-2.729,9.587,3,confederate
17,1,-3.344,8.6715,-3.346,8.7835,6,confederate
18,0,-2.7185,9.6555,-2.768,9.724,3,confederate
18,1,-3.322,8.6715,-3.346,8.7835,6,confederate
19,0,-2.7075,9.68975,-2.746,9.724,3,confederate
19,1,-3.477,9.1375,-3.457,9.076,6,confederate
20,0,-2.794,9.9375,-2.826,10.01,3,confederate
20,1,-3.457,9.076,-3.457,9.076,6,confederate
21,0,-2.647,9.6555,-2.783,9.9375,3,confederate
