frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-1.508,9.04625,-1.68,9.262,6,confederate
0,1,-2.669,8.846,-2.669,9.454,6,confederate
0,2,-2.686,4.794,-2.962,5.0825,15,participant
1,0,-1.5670000000000002,9.3895,-1.752,9.6555,9,confederate
1,1,-2.727,9.454,-2.669,9.454,9,confederate
1,2,-3.114,5.157,-3.237,5.36,12,participant
2,0,-1.5405,9.262,-1.715,9.454,9,confederate
2,1,-2.633,9.0165,-2.633,9.325,9,confederate
2,2,-3.118,5.08,-3.151,5.08,12,participant
3,0,-1.573,9.35975,-1.739,9.587,9,confederate
3,1,-2.669,9.262,-2.669,9.454,9,confederate
3,2,-3.1340000000000003,4.978,-3.14,5.005,9,participant
4,0,-1.579,9.394,-1.817,10.0125,9,confederate
4,1,-2.688,8.622,-2.688,9.5205,9,confederate
4,2,-3.2335000000000003,5.05175,-3.257,5.005,6,participant
5,0,-1.5835,9.39125,-1.777,9.7945,9,confederate
5,1,-2.669,9.078,-2.669,9.454,9,confederate
5,2,-3.516,5.2565,-3.558,5.277,15,participant
6,0,-1.5605,9.2305,-1.739,9.587,9,confederate
6,1,-2.529,8.2585,-2.529,8.957,9,confederate
6,2,-3.682,5.277,-3.682,5.277,3,participant
7,0,-1.646,9.5225,-1.775,9.6555,9,confederate
7,1,-2.655,8.9075,-2.655,9.3265,9,confederate
7,2,-3.715,5.446,-3.889,5.446,6,participant
8,0,-1.5745,9.262,-1.737,9.454,9,confederate
8,1,-2.655,8.84,-2.55,8.957,6,confederate
8,2,-3.823,5.446,-4.034,5.557,6,participant
9,0,-1.5945,9.26275,-1.737,9.454,9,confederate
9,1,-2.818,9.076,-2.55,8.957,6,confederate
9,2,-4.196,5.603,-4.242,5.6965,6,participant
10,0,-1.584,9.2935,-1.714,9.325,9,confederate
10,1,-2.808,9.5205,-2.655,9.325,6,confederate
10,2,-4.361,5.769,-4.364,5.769,12,participant
11,0,-1.545,9.076,-1.691,9.199,9,confederate
11,1,-2.749,9.587,-2.71,9.5205,6,confederate
11,2,-4.343,5.673,-4.343,5.603,15,participant
12,0,-1.54,9.076,-1.691,9.199,9,confederate
12,1,-2.7,9.2005,-2.673,9.3895,6,confederate
12,2,-4.847,6.105,-4.847,6.105,15,participant
13,0,-1.5915,9.17325,-1.726,9.3895,9,confederate
13,1,-2.679,8.9015,-2.584,9.076,12,confederate
13,2,-4.756,5.971,-4.912,6.133,21,participant
14,0,-1.583,9.19975,-1.726,9.3895,9,confederate
14,1,-2.748,9.199,-2.619,9.199,15,confederate
14,2,-5.384,6.403,-5.914,7.194,24,participant
15,0,-1.5355,8.92775,-1.668,9.076,9,confederate
15,1,-2.784,9.262,-2.692,9.454,15,confederate
15,2,-5.352,6.3115,-5.418,6.5155,24,participant
16,0,-1.5535,8.98875,-1.679,9.1375,9,confederate
16,1,-2.597,8.6715,-2.509,8.6715,15,confederate
16,2,-5.347,6.45825,-5.761,6.8135,21,participant
17,0,-1.608,9.3325,-1.775,9.6555,9,confederate
17,1,-2.936,9.454,-2.736,9.454,12,confederate
17,2,-5.3575,6.4985,-5.528,6.483,21,participant
18,0,-1.616,9.30625,-1.775,9.6555,9,confederate
18,1,-2.821,9.2005,-2.72,9.325,12,confederate
18,2,-5.452999999999999,6.46825,-5.612,6.4225,21,participant
19,0,-1.5835,9.1375,-1.75,9.5205,9,confederate
19,1,-2.852,9.262,-2.648,9.076,9,confederate
19,2,-5.8185,6.85025,-5.79,6.609,21,participant
20,0,-1.597,9.2685,-1.762,9.587,9,confederate
20,1,-2.936,9.454,-2.684,9.199,6,confederate
20,2,-5.749,6.5142500000000005,-6.094,6.81,21,participant
21,0,-1.5975,9.3325,-1.787,9.724,9,confederate
21,1,-2.9865000000000004,9.587,-2.758,9.454,3,confederate
21,2,-5.753,6.362,-5.753,6.362,30,participant
22,0,-1.5630000000000002,9.018,-1.737,9.454,9,confederate
22,1,-2.9555,9.55375,-2.53,8.6715,3,confederate
23,0,-1.558,9.04725,-1.714,9.325,9,confederate
23,1,-2.7495000000000003,9.262,-2.72,9.325,3,confederate
24,0,-1.5725,9.1375,-1.714,9.325,9,confederate
24,1,-2.8735,9.32575,-2.684,9.199,3,confederate
25,0,-1.5475,8.98675,-1.714,9.325,9,confederate
25,1,-2.766,9.199,-2.662,9.199,9,confederate
26,0,-1.5779999999999998,9.169,-1.714,9.325,9,confederate
26,1,-2.92,9.62125,-2.794,9.6555,3,confederate
27,0,-1.5315,8.958,-1.691,9.199,9,confederate
27,1,-2.9395,9.62125,-2.662,9.199,3,confederate
28,0,-1.5465,9.077,-1.737,9.454,9,confederate
28,1,-2.88,9.48825,-2.627,9.076,3,confederate
29,0,-1.5105,8.84,-1.657,9.0165,6,confederate
29,1,-2.8775000000000004,9.5205,-2.542,8.7835,3,confederate
30,0,-1.5865,9.266,-1.762,9.587,6,confederate
30,1,-2.8680000000000003,9.48725,-2.627,9.076,3,confederate
31,0,-1.578,9.23125,-1.75,9.5205,9,confederate
31,1,-2.9505,9.725,-2.702,9.262,3,confederate
32,0,-1.5415,9.0175,-1.691,9.199,9,confederate
32,1,-2.7465,8.8985,-2.579,8.84,3,confederate
33,0,-1.5659999999999998,9.10675,-1.752,9.6555,9,confederate
33,1,-2.792,9.026,-2.739,9.3895,3,confederate
34,0,-1.5630000000000002,9.078,-1.702,9.262,9,confederate
34,1,-2.839,9.1415,-2.742,9.325,3,confederate
35,0,-1.6255,9.43175,-1.813,9.865,9,confederate
35,1,-2.882,9.3905,-2.6,8.84,3,confederate
36,0,-1.5575,9.1085,-1.68,9.262,9,confederate
36,1,-2.861,9.1375,-2.534,8.616,6,confederate
37,0,-1.5665,9.16825,-1.669,9.199,9,confederate
37,1,-2.7885,8.81175,-2.566,8.727,3,confederate
38,0,-1.5515,9.10675,-1.68,9.262,9,confederate
38,1,-2.779,9.13925,-2.742,9.325,3,confederate
39,0,-1.545,9.16825,-1.704,9.3895,9,confederate
39,1,-2.7525,9.11,-2.687,9.1375,3,confederate
40,0,-1.5675,9.29675,-1.777,9.7945,9,confederate
40,1,-2.802,8.957,-2.566,8.727,3,confederate
41,0,-1.5395,9.199,-1.704,9.3895,9,confederate
41,1,-2.878,9.199,-2.62,8.84,3,confederate
42,0,-1.48,8.8985,-1.625,8.957,9,confederate
42,1,-2.7285,8.841000000000001,-2.604,8.7835,6,confederate
43,0,-1.546,9.2635,-1.817,10.0125,9,confederate
43,1,-2.878,9.325,-2.742,9.325,6,confederate
44,0,-1.578,9.49025,-1.83,10.085,9,confederate
44,1,-2.859,9.2005,-2.742,9.325,9,confederate
45,0,-1.5255,9.23275,-1.739,9.587,9,confederate
45,1,-2.777,8.727,-2.562,8.7835,6,confederate
46,0,-1.5535,9.36775,-1.806,10.085,9,confederate
46,1,-2.678,8.616,-2.597,8.9015,6,confederate
47,0,-1.5385,9.325,-1.705,9.5205,9,confederate
47,1,-2.823,8.957,-2.687,9.1375,6,confederate
48,0,-1.524,9.23275,-1.767,9.867,9,confederate
48,1,-2.733,8.6715,-2.669,9.076,6,confederate
49,0,-1.4875,8.92775,-1.615,9.0165,9,confederate
49,1,-2.865,9.076,-2.652,9.0165,6,confederate
50,0,-1.504,9.07875,-1.729,9.6555,9,confederate
50,1,-2.903,9.076,-2.78,9.454,6,confederate
51,0,-1.4985,9.07875,-1.729,9.6555,9,confederate
51,1,-2.847,9.2005,-2.78,9.454,6,confederate
52,0,-1.4815,9.10675,-1.806,10.085,9,confederate
52,1,-2.847,9.141,-2.724,9.262,6,confederate
53,0,-1.3945,8.69925,-1.522,8.727,9,confederate
53,1,-2.952,9.587,-2.705,9.199,6,confederate
54,0,-1.413,8.81175,-1.542,8.84,9,confederate
54,1,-2.817,9.10925,-2.684,9.199,3,confederate
55,0,-1.397,8.58925,-1.493,8.5625,9,confederate
55,1,-2.664,8.4565,-2.467,8.4565,6,confederate
56,0,-1.468,9.04725,-1.637,9.3895,9,confederate
56,1,-2.817,8.5705,-2.817,9.6555,6,confederate
57,0,-1.4415,8.98725,-1.604,9.199,9,confederate
57,1,-2.786,8.957,-2.778,9.5205,6,confederate
58,0,-1.446,9.1375,-1.604,9.199,9,confederate
58,1,-2.861,9.076,-2.627,9.076,6,confederate
59,0,-1.465,9.1375,-1.626,9.325,9,confederate
59,1,-2.919,9.265,-2.717,9.3895,6,confederate
60,0,-1.451,9.04725,-1.672,9.589,9,confederate
60,1,-2.88,9.078,-2.609,9.0165,6,confederate
61,0,-1.458,8.958,-1.67,9.325,9,confederate
61,1,-2.837,8.958,-2.837,9.724,6,confederate
62,0,-1.4445,8.873750000000001,-1.67,9.325,9,confederate
62,1,-2.73,8.957,-2.648,9.076,6,confederate
63,0,-1.508,9.13825,-1.693,9.454,9,confederate
63,1,-2.928,9.199,-2.837,9.724,6,confederate
64,0,-1.438,8.957,-1.604,8.957,9,confederate
64,1,-2.945,9.262,-2.669,9.076,6,confederate
65,0,-1.4515,8.92825,-1.625,9.076,9,confederate
65,1,-2.775,8.7895,-2.863,9.6595,3,confederate
66,0,-1.477,9.077,-1.604,9.199,9,confederate
66,1,-2.9290000000000003,9.1375,-2.789,9.262,3,confederate
67,0,-1.483,9.1095,-1.717,9.587,9,confederate
67,1,-3.042,9.724,-2.808,9.325,3,confederate
68,0,-1.488,9.2005,-1.626,9.325,9,confederate
68,1,-3.032,9.55375,-2.909,9.587,3,confederate
69,0,-1.4425,8.84,-1.562,8.957,9,confederate
69,1,-3.0325,9.5205,-2.974,9.724,3,confederate
70,0,-1.483,9.1095,-1.615,9.262,9,confederate
70,1,-2.932,9.2135,-2.932,9.587,3,confederate
71,0,-1.458,8.958,-1.647,9.199,9,confederate
71,1,-3.1315,9.7945,-2.852,9.325,3,confederate
72,0,-1.427,8.7835,-1.542,8.84,9,confederate
72,1,-3.225,9.7945,-2.792,9.199,6,confederate
73,0,-1.4665,8.98675,-1.572,9.0165,9,confederate
73,1,-3.157,9.5205,-2.792,9.199,6,confederate
74,0,-1.476,9.076,-1.583,9.076,9,confederate
74,1,-3.029,9.262,-2.721,8.8985,6,confederate
75,0,-1.4855,9.199,-1.66,9.5205,9,confederate
75,1,-2.876,8.727,-2.721,8.8985,6,confederate
76,0,-1.4605,9.10775,-1.649,9.454,9,confederate
76,1,-3.202,9.865,-2.891,9.454,6,confederate
