frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-0.777,8.6715,-0.838,9.325,6,confederate
0,1,3.185,19.7675,3.618,20.6465,9,participant
0,2,-2.406,10.653,-2.45,11.069,18,confederate
1,0,-0.786,8.869250000000001,-0.838,9.325,9,confederate
1,1,3.01,16.602,2.987,16.602,18,participant
1,2,-2.415,10.6915,-2.45,11.069,18,confederate
2,0,-0.78,8.7275,-0.85,9.454,9,confederate
2,2,-2.415,10.6915,-2.45,11.069,18,confederate
3,0,-0.7805,8.785,-0.85,9.456,9,confederate
3,1,-2.43,10.979,-2.43,10.979,15,confederate
4,0,-0.8065,9.0175,-0.85,9.454,9,confederate
4,1,-2.386,10.636,-2.379,10.636,15,confederate
5,0,-0.7855,8.9025,-0.827,9.199,9,confederate
5,1,-2.356,10.3195,-2.361,10.554,12,confederate
6,0,-0.7945,8.87175,-0.85,9.456,9,confederate
6,1,-2.4125,10.653,-2.45,11.069,12,confederate
7,0,-0.843,9.23275,-0.913,10.16,9,confederate
7,1,-2.3705,10.653,-2.45,11.069,12,confederate
8,0,-0.7749999999999999,8.69975,-0.816,9.076,9,confederate
8,1,-2.3965,10.6095,-2.431,10.982,12,confederate
9,0,-0.776,8.79575,-0.827,9.199,9,confederate
9,1,-2.398,10.979,-2.43,10.979,15,confederate
10,0,-0.8109999999999999,9.02425,-0.874,9.724,6,confederate
10,1,-2.373,10.7205,-2.373,10.7205,18,confederate
11,0,-0.7805,8.81625,-0.827,9.199,6,confederate
11,1,-2.373,10.7205,-2.373,10.7205,18,confederate
12,0,-0.8029999999999999,8.87175,-0.862,9.587,6,confederate
12,1,-2.3315,10.3195,-2.336,10.554,15,confederate
13,0,-0.8045,8.7275,-0.862,9.587,6,confederate
13,1,-2.3065,10.2105,-2.336,10.554,15,confederate
14,0,-0.774,8.621,-0.838,9.325,6,confederate
14,1,-2.308,10.33625,-2.367,10.8075,15,confederate
15,0,-0.7595000000000001,8.469000000000001,-0.887,9.865,6,confederate
15,1,-2.321,10.8075,-2.367,10.8075,18,confederate
16,0,-0.7264999999999999,8.3065,-0.816,9.078,6,confederate
16,1,-2.3225,10.34325,-2.385,10.892,21,confederate
17,0,-0.7115,8.430250000000001,-0.816,9.076,9,confederate
17,1,-2.344,10.4885,-2.385,10.892,21,confederate
18,0,-0.74,8.81175,-0.85,9.454,9,confederate
18,1,-2.35,10.5695,-2.404,10.979,21,confederate
19,0,-0.7335,8.7835,-0.874,9.724,9,confederate
19,1,-2.368,10.648,-2.405,10.982,21,confederate
20,0,-0.7284999999999999,8.64475,-0.862,9.587,9,confederate
20,1,-2.315,10.41,-2.367,10.8075,21,confederate
21,0,-0.7170000000000001,8.405000000000001,-0.827,9.199,9,confederate
21,1,-2.385,10.892,-2.385,10.892,18,confederate
22,0,-0.7055,8.1785,-0.785,8.727,9,confederate
22,1,-2.385,10.892,-2.385,10.892,18,confederate
23,0,-0.6859999999999999,8.2025,-0.775,8.616,9,confederate
23,1,-2.461,11.6365,-2.494,11.6365,18,confederate
24,0,-0.6625,8.00875,-0.76,8.4565,9,confederate
24,1,-2.441,11.441,-2.452,11.441,18,confederate
25,0,-0.6635,8.155249999999999,-0.78,8.6715,9,confederate
25,1,-2.276,10.393,-2.276,10.393,18,confederate
26,0,-0.651,8.05875,-0.78,8.6745,9,confederate
26,1,-2.307,10.393,-2.276,10.393,18,confederate
27,0,-0.729,8.1045,-0.77,8.5705,6,confederate
27,1,-2.302,10.982,-2.372,11.069,18,confederate
28,0,-0.733,8.1525,-0.751,8.355,6,confederate
28,1,-2.238,10.16,-2.225,10.16,18,confederate
29,0,-0.703,8.251,-0.747,8.3065,6,confederate
29,1,-2.2535,10.3175,-2.311,10.554,15,confederate
30,0,-0.674,8.301,-0.77,8.5655,6,confederate
30,1,-2.244,10.1225,-2.225,10.16,12,confederate
31,0,-0.652,8.616,-0.785,8.733,6,confederate
31,1,-2.268,10.3535,-2.276,10.393,6,confederate
32,0,-0.682,8.509,-0.785,8.727,6,confederate
32,1,-2.2595,10.162,-2.259,10.314,6,confederate
32,2,4.802,20.9495,4.802,20.9495,15,participant
33,0,-0.734,8.727,-0.795,8.842,3,confederate
33,1,-2.278,10.35975,-2.33,10.6385,6,confederate
33,2,4.589,20.021,3.353,14.483,21,participant
34,0,-0.671,8.404,-0.78,8.6805,6,confederate
34,1,-2.247,10.1685,-2.293,10.472,9,confederate
35,0,-0.664,8.616,-0.801,8.9075,9,confederate
35,1,-2.2615,10.162,-2.329,10.636,3,confederate
35,2,4.728,20.627,3.152,13.614,21,participant
