frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-3.14,8.727,-3.14,8.727,3,confederate
0,1,-2.308,9.55375,-2.437,9.587,0,confederate
1,0,-3.266,8.6715,-3.266,9.078,3,confederate
1,1,-2.4495,9.68975,-2.472,9.724,0,confederate
2,0,-3.067,8.4565,-3.061,8.509,3,confederate
2,1,-2.4435,9.724,-2.472,9.724,0,confederate
3,0,-3.266,9.076,-3.266,9.076,3,confederate
3,1,-2.4095,9.587,-2.472,9.724,0,confederate
4,0,-3.142,8.727,-3.181,8.84,3,confederate
4,1,-2.3145,9.454,-2.459,9.587,0,confederate
5,0,-3.244,9.0165,-3.244,9.0165,3,confederate
5,1,-2.49,9.7945,-2.513,9.7945,3,confederate
6,0,-3.221,8.84,-3.181,8.84,3,confederate
6,1,-2.4745,9.6555,-2.495,9.724,3,confederate
7,0,-3.161,8.616,-2.898,8.056,3,confederate
7,1,-2.472,9.724,-2.495,9.724,3,confederate
8,0,-3.16,8.727,-3.14,8.727,3,confederate
8,1,-2.448,9.6555,-2.495,9.724,3,confederate
9,0,-3.404,9.0825,-3.332,9.262,3,confederate
9,1,-2.3975,9.5205,-2.42,9.5205,0,confederate
10,0,-3.201,8.727,-3.14,8.727,3,confederate
10,1,-2.4565,9.90125,-2.526,9.9375,0,confederate
11,0,-3.223,8.846,-3.223,8.8985,3,confederate
11,1,-2.4480000000000004,9.75925,-2.544,10.01,0,confederate
12,0,-3.12,8.616,-3.12,8.616,3,confederate
12,1,-2.415,9.724,-2.472,9.724,0,confederate
13,0,-3.355,8.846,-3.4,9.3895,3,confederate
13,1,-2.5045,9.7945,-2.508,9.865,0,confederate
14,0,-3.303,8.9015,-3.287,9.076,3,confederate
14,1,-2.499,10.085,-2.583,10.16,0,confederate
15,0,-3.241,8.727,-3.16,8.727,3,confederate
15,1,-2.403,9.589,-2.472,9.724,0,confederate
16,0,-3.201,8.622,-3.181,8.7835,3,confederate
16,1,-2.468,9.724,-2.472,9.724,0,confederate
17,0,-3.287,8.9015,-3.287,9.076,3,confederate
17,1,-2.431,9.724,-2.526,9.9375,0,confederate
18,0,-3.143,8.509,-3.081,8.509,3,confederate
18,1,-2.431,9.6555,-2.508,9.865,3,confederate
19,0,-3.288,8.842,-3.309,9.1375,3,confederate
19,1,-2.451,9.7945,-2.508,9.865,3,confederate
20,0,-3.332,9.0165,-3.331,9.199,3,confederate
20,1,-2.424,9.82975,-2.544,10.01,3,confederate
21,0,-3.449,9.2005,-3.449,9.5245,3,confederate
21,1,-2.4195,9.589,-2.472,9.724,3,confederate
22,0,-3.221,8.509,-3.025,8.3525,3,confederate
22,1,-2.3360000000000003,9.724,-2.508,9.865,3,confederate
23,0,-3.081,8.509,-3.081,8.509,3,confederate
23,1,-2.3005,9.55375,-2.472,9.724,3,confederate
24,0,-3.143,8.301,-2.935,8.1045,3,confederate
24,1,-2.316,9.587,-2.508,9.865,0,confederate
25,0,-3.202,8.622,-3.181,8.727,3,confederate
25,1,-2.3495,9.75925,-2.508,9.865,0,confederate
26,0,-3.106,8.404,-3.063,8.404,3,confederate
26,1,-2.3925,9.6555,-2.508,9.865,3,confederate
27,0,-3.162,8.404,-3.028,8.201,3,confederate
27,1,-2.375,9.7945,-2.508,9.865,3,confederate
28,0,-3.264,8.727,-3.264,8.84,3,confederate
28,1,-2.392,9.865,-2.508,9.865,3,confederate
29,0,-3.418,8.9015,-3.418,9.199,3,confederate
29,1,-2.2910000000000004,9.588,-2.508,9.865,3,confederate
30,0,-3.241,8.4565,-3.104,8.301,3,confederate
30,1,-2.4545000000000003,9.9375,-2.544,10.01,3,confederate
31,0,-3.261,8.727,-3.263,8.727,3,confederate
31,1,-2.375,9.68975,-2.472,9.724,3,confederate
32,0,-3.182,8.3525,-3.142,8.3525,3,confederate
32,1,-2.4035,9.7955,-2.508,9.867,3,confederate
33,0,-3.201,8.509,-3.182,8.4565,3,confederate
33,1,-2.3835,9.724,-2.544,10.01,3,confederate
34,0,-3.446,8.733,-3.461,9.199,3,confederate
34,1,-2.3155,9.68975,-2.49,9.7945,0,confederate
35,0,-3.374,8.616,-3.485,9.262,3,confederate
35,1,-2.4035,9.865,-2.508,9.865,0,confederate
36,0,-3.438,8.4585,-3.438,9.1375,3,confederate
36,1,-2.369,9.6555,-2.508,9.865,3,confederate
37,0,-3.533,8.84,-3.533,9.3895,3,confederate
37,1,-2.395,9.724,-2.472,9.724,3,confederate
38,0,-3.241,8.404,-3.241,8.509,3,confederate
38,1,-2.353,9.62125,-2.472,9.724,3,confederate
39,0,-3.281,8.509,-3.283,8.618,6,confederate
39,1,-2.4375,9.724,-2.495,9.724,3,confederate
40,0,-3.412,8.727,-3.412,8.957,6,confederate
40,1,-2.4435,9.6555,-2.472,9.724,3,confederate
41,0,-3.241,8.404,-3.241,8.509,6,confederate
41,1,-2.277,9.5205,-2.508,9.865,3,confederate
42,0,-3.504,8.846,-3.504,9.199,3,confederate
