frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.693,9.724,-2.746,9.724,3,confederate
0,1,-3.0325,8.48275,-3.022,8.509,9,confederate
1,0,-2.8005,10.085,-2.824,10.085,3,confederate
1,1,-3.2575000000000003,8.869250000000001,-3.334,9.3895,9,confederate
2,0,-2.682,9.724,-2.762,9.865,3,confederate
2,1,-3.061,8.564,-3.079,8.6715,9,confederate
3,0,-2.739,9.865,-2.762,9.865,3,confederate
3,1,-3.08,8.616,-2.984,8.404,9,confederate
4,0,-2.8315,10.16,-2.869,10.16,3,confederate
4,1,-3.112,8.565999999999999,-3.181,8.957,9,confederate
5,0,-2.821,10.16,-2.912,10.314,3,confederate
5,1,-3.09,8.618,-3.181,8.957,9,confederate
6,0,-2.7405,9.9375,-2.869,10.16,3,confederate
6,1,-3.181,8.7835,-3.181,8.84,9,confederate
7,0,-2.6715,9.7945,-2.743,9.7945,3,confederate
7,1,-3.3115,9.1165,-3.181,8.84,6,confederate
8,0,-2.747,9.7945,-2.762,9.865,3,confederate
8,1,-3.1535,8.70675,-3.223,8.957,6,confederate
9,0,-2.677,9.724,-2.743,9.7945,3,confederate
9,1,-3.073,8.48625,-3.12,8.6715,6,confederate
10,0,-2.6965000000000003,9.68975,-2.704,9.6555,3,confederate
10,1,-3.192,8.75525,-3.16,8.7835,6,confederate
11,0,-2.6025,9.725,-2.658,9.6555,3,confederate
11,1,-3.1115,8.509,-3.061,8.509,6,confederate
12,0,-2.7125000000000004,9.9375,-2.716,9.865,3,confederate
12,1,-3.2235,8.81925,-3.266,9.076,6,confederate
13,0,-2.5700000000000003,9.724,-2.677,9.724,3,confederate
13,1,-3.2335000000000003,8.84,-3.266,9.076,6,confederate
14,0,-2.5745,9.587,-2.658,9.6555,3,confederate
14,1,-3.476,9.48475,-3.656,10.16,6,confederate
15,0,-2.5515,9.724,-2.677,9.724,3,confederate
15,1,-3.191,8.64625,-3.16,8.7835,6,confederate
16,0,-2.6385,9.724,-2.677,9.724,3,confederate
16,1,-3.27,8.89675,-3.378,9.3895,6,confederate
