frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-0.567,8.846,-0.964,11.6365,12,confederate
0,1,-2.137,9.076,-2.392,11.162,12,confederate
1,0,-0.556,8.6745,-1.002,12.094,9,confederate
1,1,-2.115,9.076,-2.472,11.537,6,confederate
2,0,-0.679,9.865,-0.995,12.001,6,confederate
2,1,-2.221,9.532,-2.353,10.979,3,confederate
3,0,-0.641,9.2255,-0.827,9.9805,6,confederate
3,1,-2.1625,9.29425,-2.242,10.237,3,confederate
4,0,-0.642,9.026,-0.925,11.159,12,confederate
4,1,-2.245,9.55975,-2.329,10.636,9,confederate
5,0,-0.642,8.733,-0.925,11.159,6,confederate
5,1,-2.303,9.943,-2.404,10.979,3,confederate
6,0,-0.663,9.0195,-0.925,11.159,6,confederate
6,1,-2.279,9.83275,-2.311,10.554,3,confederate
7,0,-0.735,9.4,-0.852,10.5845,6,confederate
7,1,-2.2755,9.9045,-2.472,11.537,3,confederate
8,0,-0.663,9.0195,-0.767,9.807,6,confederate
8,1,-2.282,9.7985,-2.366,10.805,3,confederate
9,0,-0.646,9.1375,-0.767,9.807,6,confederate
9,1,-2.314,10.16325,-2.391,11.159,3,confederate
10,0,-0.614,8.7865,-0.646,8.7865,6,confederate
10,1,-2.239,9.7945,-2.372,11.069,6,confederate
11,0,-0.654,8.963,-0.654,8.9015,6,confederate
11,1,-2.209,9.587,-2.327,10.979,6,confederate
12,0,-0.591,8.509,-0.663,9.0195,6,confederate
12,1,-2.254,9.587,-2.405,11.348,12,confederate
13,0,-0.567,8.733,-0.663,9.0195,3,confederate
13,1,-2.151,9.454,-2.385,11.252,12,confederate
14,0,-0.578,8.405,-0.654,8.9015,3,confederate
14,1,-2.286,9.865,-2.446,11.5405,12,confederate
15,0,-0.496,8.2025,-0.654,8.9015,6,confederate
15,1,-2.166,9.724,-2.309,10.892,12,confederate
16,0,-0.522,8.1525,-0.646,8.7865,6,confederate
16,1,-2.123,9.7945,-2.385,11.252,12,confederate
17,0,-0.545,8.51,-0.725,9.272,6,confederate
17,1,-2.137,9.3895,-2.346,11.069,12,confederate
18,0,-0.539,8.405,-0.646,8.7865,6,confederate
18,1,-2.151,9.724,-2.327,10.979,12,confederate
19,0,-0.507,8.1595,-0.715,9.147,6,confederate
19,1,-2.06,9.199,-2.488,11.736,6,confederate
20,0,-0.563,8.7835,-0.71,9.0825,9,confederate
20,1,-2.137,9.454,-2.385,11.252,6,confederate
21,0,-0.633,9.026,-0.72,9.2055,9,confederate
21,1,-2.226,9.5205,-2.309,10.892,12,confederate
22,0,-0.532,8.3065,-0.706,9.026,9,confederate
22,1,-2.137,9.5205,-2.327,10.979,6,confederate
23,0,-0.59,9.147,-0.715,9.147,9,confederate
23,1,-2.226,10.085,-2.405,11.345,6,confederate
24,0,-0.586,9.1375,-0.73,9.3405,9,confederate
24,1,-2.21,10.16,-2.398,11.441,6,confederate
25,0,-0.602,8.7865,-0.646,8.7865,3,confederate
25,1,-2.257,10.16,-2.358,11.252,6,confederate
26,0,-0.594,9.262,-0.725,9.272,6,confederate
26,1,-2.29,10.393,-2.36,11.258,6,confederate
27,0,-0.614,9.2055,-0.72,9.2055,6,confederate
