frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.78,3.655,-2.837,3.66,3,confederate
1,0,-2.7795,3.6695,-2.875,3.7095,3,confederate
2,0,-2.7985,3.645,-2.829,3.65,3,confederate
3,0,-2.775,3.65,-2.837,3.66,3,confederate
4,0,-2.7635,3.65,-2.852,3.679,3,confederate
5,0,-2.7745,3.65975,-2.852,3.6795,3,confederate
6,0,-2.794,3.65,-2.837,3.66,3,confederate
7,0,-2.7935,3.66975,-2.868,3.6995,3,confederate
8,0,-2.7935,3.6795,-2.867,3.699,3,confederate
9,0,-2.821,3.6745,-2.899,3.7405,3,confederate
10,0,-2.7825,3.6745,-2.915,3.761,3,confederate
11,0,-2.7855,3.67975,-2.867,3.7095,3,confederate
12,0,-2.77,3.68425,-2.882,3.73,3,confederate
13,0,-2.745,3.645,-2.858,3.699,3,confederate
14,0,-2.7625,3.6695,-2.898,3.7505,3,confederate
15,0,-2.719,3.6645,-2.875,3.72,3,confederate
16,0,-2.7445,3.65475,-2.882,3.73,3,confederate
17,0,-2.762,3.689,-2.882,3.73,3,confederate
18,0,-2.762,3.6695,-2.906,3.761,3,confederate
19,0,-2.7475,3.65,-2.859,3.6995,3,confederate
20,0,-2.7585,3.6695,-2.882,3.73,3,confederate
21,0,-2.751,3.6695,-2.867,3.7095,3,confederate
22,0,-2.7505,3.65975,-2.875,3.72,3,confederate
23,0,-2.7545,3.6645,-2.882,3.73,3,confederate
24,0,-2.7265,3.65,-2.882,3.73,3,confederate
25,0,-2.7615,3.6695,-2.89,3.74,3,confederate
26,0,-2.77,3.65,-2.858,3.699,3,confederate
27,0,-2.7495000000000003,3.63525,-2.882,3.73,3,confederate
28,0,-2.7665,3.645,-2.867,3.7095,3,confederate
29,0,-2.7695,3.655,-2.867,3.7095,3,confederate
30,0,-2.777,3.65975,-2.867,3.7095,3,confederate
31,0,-2.7605000000000004,3.65,-2.867,3.7095,3,confederate
32,0,-2.749,3.66475,-2.882,3.73,3,confederate
33,0,-2.731,3.6405,-2.882,3.73,3,confederate
34,0,-2.7415,3.6355,-2.882,3.73,3,confederate
35,0,-2.7695,3.67925,-2.915,3.7715,3,confederate
36,0,-2.73,3.65,-2.915,3.7715,3,confederate
37,0,-2.7455,3.65,-2.898,3.7505,3,confederate
38,0,-2.7535,3.65975,-2.915,3.7715,3,confederate
39,0,-2.757,3.66,-2.875,3.72,3,confederate
40,0,-2.7535,3.655,-2.867,3.7095,3,confederate
41,0,-2.758,3.6305,-2.882,3.73,3,confederate
42,0,-2.7425,3.65,-2.867,3.7095,3,confederate
43,0,-2.742,3.64025,-2.842,3.689,3,confederate
44,0,-2.7805,3.66,-2.826,3.679,3,confederate
45,0,-2.7775,3.65,-2.803,3.65,3,confederate
46,0,-2.7655000000000003,3.63525,-2.796,3.64,3,confederate
47,0,-2.7415000000000003,3.64525,-2.873,3.7405,3,confederate
48,0,-2.7255000000000003,3.65475,-3.059,3.958,3,confederate
49,0,-2.7835,3.66975,-2.89,3.74,3,confederate
50,0,-2.785,3.69475,-2.882,3.73,3,confederate
51,0,-2.77,3.68,-2.906,3.761,3,confederate
52,0,-2.7525000000000004,3.67925,-2.915,3.7715,3,confederate
53,0,-2.73,3.655,-2.923,3.782,3,confederate
54,0,-2.7225,3.6595,-2.931,3.7925,3,confederate
55,0,-2.753,3.69,-2.915,3.7715,3,confederate
56,0,-2.753,3.6695,-2.939,3.803,3,confederate
57,0,-2.7595,3.689,-2.915,3.7715,3,confederate
58,0,-2.7255000000000003,3.64525,-2.891,3.7405,3,confederate
59,0,-2.7145,3.6645,-2.931,3.7925,3,confederate
60,0,-2.7355,3.67425,-2.858,3.699,3,confederate
