frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-3.652,8.008,-3.518,7.9615,9,confederate
0,1,-3.1905,9.587,-3.202,9.587,3,confederate
1,0,-3.691,8.3525,-3.672,8.3525,9,confederate
1,1,-3.1355,9.42175,-3.136,9.3895,3,confederate
2,0,-3.678,8.4565,-3.678,8.4565,9,confederate
2,1,-3.1795,9.55375,-3.224,9.587,3,confederate
3,0,-3.652,8.201,-3.567,8.201,9,confederate
3,1,-3.1705,9.589,-3.27,9.724,3,confederate
4,0,-3.844,8.728,-3.844,8.84,9,confederate
4,1,-3.1795,9.587,-3.224,9.587,3,confederate
5,0,-3.696,8.3525,-3.632,8.3525,9,confederate
5,1,-3.1795,9.62125,-3.247,9.6555,9,confederate
6,0,-3.652,8.3525,-3.632,8.3525,9,confederate
6,1,-3.1575,9.48725,-3.202,9.5205,15,confederate
7,0,-3.652,8.301,-3.591,8.301,9,confederate
7,1,-3.1795,9.55375,-3.202,9.5205,15,confederate
8,0,-3.652,8.104,-3.483,8.008,9,confederate
8,1,-3.179,9.587,-3.247,9.587,12,confederate
9,0,-3.785,8.301,-3.545,8.1525,6,confederate
9,1,-3.157,9.587,-3.247,9.587,12,confederate
10,0,-3.785,8.301,-3.605,8.201,6,confederate
10,1,-3.2135,9.62125,-3.27,9.6555,9,confederate
11,0,-3.718,8.1525,-3.584,8.1525,6,confederate
11,1,-3.1905,9.587,-3.269,9.587,9,confederate
12,0,-3.785,8.301,-3.622,8.1525,6,confederate
12,1,-3.2245,9.724,-3.316,9.724,15,confederate
13,0,-3.785,8.301,-3.619,8.104,6,confederate
13,1,-3.2025,9.68975,-3.365,9.867,9,confederate
14,0,-3.785,8.301,-3.593,7.9615,3,confederate
14,1,-3.18,9.587,-3.315,9.6555,15,confederate
15,0,-3.74,8.201,-3.677,8.104,6,confederate
15,1,-3.169,9.454,-3.246,9.454,15,confederate
16,0,-3.696,8.104,-3.677,8.104,6,confederate
16,1,-3.0935,9.262,-3.137,9.199,9,confederate
17,0,-3.7085,8.177499999999998,-3.743,8.251,9,confederate
17,1,-3.1355,9.42175,-3.246,9.454,6,confederate
18,0,-3.6975,8.12825,-3.699,8.1525,6,confederate
18,1,-3.1685,9.5205,-3.315,9.6555,6,confederate
19,0,-3.7875,8.3275,-3.743,8.251,6,confederate
19,1,-3.202,9.587,-3.269,9.587,3,confederate
20,0,-3.7975,8.3275,-3.633,8.008,6,confederate
20,1,-3.2485,9.7945,-3.415,10.0125,0,confederate
21,0,-3.7085,8.1525,-3.677,8.104,9,confederate
21,1,-3.27,9.62125,-3.292,9.587,0,confederate
22,0,-3.731,8.2025,-3.766,8.301,6,confederate
22,1,-3.2925,9.68975,-3.315,9.6555,0,confederate
23,0,-3.676,8.1045,-3.721,8.201,6,confederate
23,1,-3.247,9.6555,-3.339,9.724,0,confederate
24,0,-3.84,8.37825,-3.699,8.1525,9,confederate
24,1,-3.169,9.3895,-3.202,9.3895,0,confederate
25,0,-3.682,8.03275,-3.696,8.104,9,confederate
25,1,-3.2355,9.587,-3.293,9.6555,0,confederate
26,0,-3.807,8.405000000000001,-3.88,8.509,9,confederate
26,1,-3.282,9.724,-3.316,9.724,0,confederate
27,0,-3.8155,8.303,-3.833,8.405,9,confederate
27,1,-3.2825,9.75925,-3.34,9.7945,0,confederate
28,0,-3.816,8.38175,-3.905,8.5625,9,confederate
28,1,-3.2705,9.75925,-3.34,9.7945,0,confederate
29,0,-4.119,8.81175,-4.005,8.7835,6,confederate
29,1,-3.293,9.724,-3.339,9.724,3,confederate
30,0,-3.9455,8.4575,-3.945,8.5625,6,confederate
30,1,-3.2355,9.5205,-3.291,9.5205,3,confederate
31,0,-4.0665,8.84,-4.093,8.84,6,confederate
31,1,-3.224,9.454,-3.268,9.454,3,confederate
32,0,-4.0785,8.6715,-4.036,8.6715,6,confederate
32,1,-3.1795,9.3895,-3.224,9.325,3,confederate
33,0,-3.9965,8.48625,-4.076,8.6715,6,confederate
33,1,-3.281,9.6555,-3.386,9.7945,3,confederate
34,0,-4.0915,8.618,-4.123,8.727,6,confederate
34,1,-3.2465,9.48725,-3.291,9.5205,3,confederate
35,0,-4.141500000000001,8.7835,-4.197,8.84,9,confederate
35,1,-3.3045,9.6555,-3.362,9.724,0,confederate
36,0,-4.1095,8.591750000000001,-4.164,8.727,9,confederate
36,1,-3.2925,9.62125,-3.383,9.6555,0,confederate
37,0,-4.2425,8.869250000000001,-4.246,8.8985,9,confederate
37,1,-3.3165,9.6555,-3.407,9.724,3,confederate
38,0,-4.072,8.565999999999999,-4.164,8.728,12,confederate
38,1,-3.269,9.587,-3.432,9.7945,3,confederate
39,0,-4.209,8.757249999999999,-4.267,8.8985,12,confederate
39,1,-3.3395,9.75925,-3.506,9.9375,3,confederate
40,0,-4.041,8.48425,-4.131,8.616,9,confederate
40,1,-3.3055000000000003,9.866,-3.481,9.867,6,confederate
41,0,-4.1185,8.43075,-4.212,8.7835,9,confederate
41,1,-3.2910000000000004,9.48725,-3.358,9.5205,6,confederate
42,0,-4.156,8.618,-4.212,8.7835,9,confederate
42,1,-3.147,9.2935,-3.267,9.262,6,confederate
43,0,-4.1615,8.7335,-4.323,9.0165,9,confederate
43,1,-3.304,9.62125,-3.406,9.6555,6,confederate
44,0,-4.295,8.616,-4.295,8.958,6,confederate
44,1,-3.269,9.587,-3.382,9.587,3,confederate
45,0,-4.109,8.48475,-4.267,8.8985,9,confederate
