frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.334,9.0165,-2.322,9.865,3,confederate
0,1,-0.936,8.84,-1.002,8.84,3,confederate
1,0,-2.304,9.2005,-2.254,9.3895,3,confederate
1,1,-0.9295,8.727,-0.989,8.727,3,confederate
2,0,-2.245,8.6715,-2.03,8.4565,3,confederate
2,1,-0.931,8.727,-0.996,8.7835,3,confederate
3,0,-2.176,8.8985,-2.137,8.8985,3,confederate
3,1,-0.9315,8.7835,-1.002,8.84,3,confederate
4,0,-2.259,9.076,-2.179,9.076,3,confederate
4,1,-0.9285,8.7835,-1.002,8.84,3,confederate
5,0,-2.176,8.509,-1.981,8.251,3,confederate
5,1,-0.9315,8.7835,-1.009,8.8985,3,confederate
6,0,-2.239,8.958,-2.239,9.325,3,confederate
6,1,-0.9195,8.6715,-0.989,8.727,3,confederate
7,0,-2.288,8.84,-2.095,8.727,3,confederate
7,1,-0.9235,8.7835,-1.002,8.84,3,confederate
8,0,-2.289,8.842,-2.095,8.727,3,confederate
8,1,-0.93,8.7865,-1.015,8.957,3,confederate
9,0,-2.302,9.078,-2.302,9.587,3,confederate
9,1,-0.917,8.727,-0.989,8.727,3,confederate
10,0,-2.217,8.5625,-2.018,8.404,3,confederate
10,1,-0.926,8.728,-1.002,8.84,3,confederate
11,0,-2.304,9.456,-2.302,9.587,3,confederate
11,1,-0.917,8.618,-0.989,8.727,3,confederate
12,0,-2.209,9.0195,-2.194,9.1375,3,confederate
12,1,-0.922,8.727,-0.989,8.727,3,confederate
13,0,-2.369,9.2005,-2.369,9.865,3,confederate
13,1,-0.931,8.7835,-0.996,8.7835,3,confederate
14,0,-2.217,9.078,-2.209,9.199,3,confederate
14,1,-0.9195,8.6715,-0.989,8.727,3,confederate
15,0,-2.098,8.727,-2.095,8.727,3,confederate
15,1,-0.934,8.7275,-1.002,8.84,3,confederate
16,0,-2.477,8.958,-2.477,10.314,3,confederate
16,1,-0.9415,8.755749999999999,-1.002,8.84,3,confederate
17,0,-2.189,9.0195,-2.137,9.076,3,confederate
17,1,-0.926,8.728,-1.002,8.84,3,confederate
18,0,-2.166,9.0165,-2.166,9.199,3,confederate
18,1,-0.9195,8.64475,-1.002,8.84,3,confederate
19,0,-2.245,9.2005,-2.166,9.2005,3,confederate
19,1,-0.9235,8.6745,-1.002,8.84,3,confederate
20,0,-2.166,9.0165,-2.166,9.199,3,confederate
20,1,-0.9115,8.5655,-0.989,8.727,3,confederate
21,0,-2.264,9.076,-2.137,9.076,3,confederate
21,1,-0.897,8.6715,-0.989,8.727,3,confederate
22,0,-2.233,9.454,-2.226,9.454,3,confederate
22,1,-0.9075,8.70675,-1.015,8.957,3,confederate
23,0,-2.207,8.84,-2.081,8.84,3,confederate
23,1,-0.9235,8.6745,-1.002,8.84,3,confederate
24,0,-2.239,9.076,-2.115,9.076,3,confederate
24,1,-0.8995,8.3275,-0.977,8.616,3,confederate
25,0,-2.3,9.325,-2.3,9.867,3,confederate
25,1,-0.9115,8.591750000000001,-0.989,8.727,3,confederate
26,0,-2.333,8.842,-2.333,10.01,3,confederate
26,1,-0.9295,8.6715,-0.989,8.727,3,confederate
27,0,-2.233,9.1375,-2.13,9.1375,6,confederate
27,1,-0.9425,8.812750000000001,-1.015,8.957,3,confederate
28,0,-2.195,9.199,-2.144,9.199,6,confederate
28,1,-0.918,8.536249999999999,-0.977,8.616,3,confederate
29,0,-2.184,9.0195,-2.144,9.199,9,confederate
29,1,-0.9295,8.5625,-0.989,8.727,3,confederate
30,0,-2.226,9.0165,-2.188,9.3895,9,confederate
30,1,-0.9295,8.64475,-0.989,8.727,3,confederate
31,0,-2.203,8.958,-2.203,9.454,9,confederate
31,1,-0.9415,8.755749999999999,-1.002,8.84,3,confederate
32,0,-2.172,8.957,-2.173,9.325,6,confederate
32,1,-0.9415,8.7835,-1.002,8.84,3,confederate
33,0,-2.108,9.078,-2.108,9.1375,9,confederate
33,1,-0.936,8.70125,-1.002,8.84,3,confederate
34,0,-2.167,9.1375,-2.19,9.589,6,confederate
34,1,-0.9415,8.755749999999999,-1.002,8.84,3,confederate
35,0,-2.054,8.8985,-2.003,8.957,3,confederate
35,1,-0.936,8.728,-1.002,8.84,3,confederate
36,0,-2.081,8.957,-1.982,8.957,9,confederate
36,1,-0.948,8.814250000000001,-1.015,8.957,3,confederate
37,0,-2.054,8.9015,-2.042,9.3265,9,confederate
37,1,-0.948,8.957,-1.015,8.957,3,confederate
38,0,-2.051,9.199,-1.985,9.262,9,confederate
38,1,-0.9425,8.842,-1.015,8.957,3,confederate
39,0,-2.022,8.84,-1.874,8.84,9,confederate
39,1,-0.921,8.64375,-0.977,8.616,3,confederate
40,0,-1.962,8.958,-1.924,9.078,9,confederate
40,1,-0.9235,8.53575,-0.977,8.616,3,confederate
41,0,-1.882,8.84,-1.874,8.84,9,confederate
41,1,-0.922,8.6715,-1.002,8.84,3,confederate
42,0,-1.783,8.509,-1.783,8.509,9,confederate
42,1,-0.93,8.733,-1.015,8.957,3,confederate
43,0,-2.076,9.325,-1.954,9.325,9,confederate
43,1,-0.9155,8.59625,-1.009,8.8985,3,confederate
44,0,-1.899,8.957,-1.877,8.957,9,confederate
44,1,-0.9285,8.728,-1.002,8.84,3,confederate
45,0,-1.923,8.84,-1.811,8.84,9,confederate
45,1,-0.9115,8.5655,-0.989,8.727,3,confederate
46,0,-1.889,9.199,-1.889,9.325,9,confederate
46,1,-0.933,8.81175,-0.996,8.7835,3,confederate
47,0,-1.898,9.199,-1.842,9.199,9,confederate
47,1,-0.9475,8.81175,-1.002,8.84,3,confederate
48,0,-1.811,8.7835,-1.697,8.7835,9,confederate
48,1,-0.9325,8.6715,-0.989,8.727,3,confederate
49,0,-1.718,8.7865,-1.687,8.84,9,confederate
49,1,-0.933,8.673,-1.002,8.84,3,confederate
50,0,-1.686,8.616,-1.624,8.616,9,confederate
50,1,-0.935,8.727,-1.002,8.84,3,confederate
51,0,-1.779,8.6715,-1.711,9.076,9,confederate
51,1,-0.9425,8.727,-0.989,8.727,3,confederate
52,0,-1.761,9.0165,-1.712,9.199,9,confederate
