frame,pid,centered_x,centered_z,nose_x,nose_z,count_NAs,role
0,0,-2.792,9.325,-2.611,9.325,6,confederate
0,1,-1.218,8.98725,-1.246,9.262,0,confederate
1,0,-2.655,8.957,-2.444,8.727,6,confederate
1,1,-1.259,9.19975,-1.316,9.454,0,confederate
2,0,-2.773,9.1375,-2.723,9.724,6,confederate
2,1,-1.23,9.076,-1.28,9.199,0,confederate
3,0,-2.69,9.1375,-2.629,9.3895,6,confederate
3,1,-1.213,9.0165,-1.247,8.957,0,confederate
4,0,-2.692,8.957,-2.508,8.957,6,confederate
4,1,-1.25,9.296,-1.307,9.393,3,confederate
5,0,-2.703,9.325,-2.629,9.3895,6,confederate
5,1,-1.1985,8.92825,-1.255,9.0165,3,confederate
6,0,-2.703,9.262,-2.593,9.262,6,confederate
6,1,-1.256,9.262,-1.311,9.262,3,confederate
7,0,-2.704,9.199,-2.576,9.199,6,confederate
7,1,-1.2675,9.325,-1.32,9.325,3,confederate
8,0,-2.866,9.5205,-2.866,10.237,6,confederate
8,1,-1.2475,9.1375,-1.302,9.199,3,confederate
9,0,-2.826,9.5205,-2.756,10.01,6,confederate
9,1,-1.2715,9.325,-1.338,9.454,3,confederate
10,0,-2.525,8.7865,-2.525,9.0165,6,confederate
10,1,-1.2675,9.35725,-1.329,9.3895,3,confederate
11,0,-2.669,9.076,-2.541,9.076,6,confederate
11,1,-1.263,9.2305,-1.36,9.454,3,confederate
12,0,-2.7505,9.587,-2.684,9.587,3,confederate
12,1,-1.2545000000000002,9.16825,-1.36,9.454,3,confederate
13,0,-2.5545,8.84,-2.475,8.84,3,confederate
13,1,-1.281,9.2305,-1.333,9.262,3,confederate
14,0,-2.723,9.55375,-2.666,9.5205,3,confederate
14,1,-1.276,9.454,-1.36,9.454,3,confederate
15,0,-2.8605,9.62225,-2.704,9.6555,3,confederate
15,1,-1.2515,9.04725,-1.315,9.1375,3,confederate
16,0,-2.5485,8.84,-2.508,8.957,3,confederate
16,1,-1.294,9.3895,-1.36,9.454,3,confederate
17,0,-2.766,9.68975,-2.723,9.724,3,confederate
17,1,-1.2475,9.0165,-1.348,9.076,3,confederate
18,0,-2.6515,9.35725,-2.633,9.325,3,confederate
18,1,-1.294,9.454,-1.435,9.6595,3,confederate
19,0,-2.7375,9.5225,-2.651,9.3895,3,confederate
19,1,-1.2895,9.39125,-1.447,9.587,3,confederate
20,0,-2.6795,9.2305,-2.669,9.454,3,confederate
20,1,-1.2365,8.9575,-1.469,9.587,3,confederate
21,0,-2.794,9.6555,-2.726,9.6555,6,confederate
21,1,-1.266,9.0165,-1.391,9.076,3,confederate
22,0,-2.833,9.5205,-2.746,9.724,6,confederate
22,1,-1.2895,9.1375,-1.422,9.1375,3,confederate
23,0,-2.912,9.6555,-2.869,10.16,6,confederate
23,1,-1.3235,9.199,-1.495,9.325,3,confederate
24,0,-2.825,9.6555,-2.785,9.865,6,confederate
24,1,-1.357,9.2305,-1.582,9.865,3,confederate
25,0,-2.805,9.6555,-2.785,9.865,6,confederate
25,1,-1.332,9.04625,-1.505,9.3895,3,confederate
26,0,-2.712,9.076,-2.512,8.8985,6,confederate
26,1,-1.336,9.203,-1.526,9.5205,3,confederate
27,0,-2.776,9.3895,-2.651,9.3895,6,confederate
27,1,-1.3745,9.325,-1.548,9.6555,3,confederate
28,0,-2.797,9.325,-2.529,8.958,6,confederate
28,1,-1.356,9.10675,-1.465,9.1375,3,confederate
29,0,-2.739,9.0165,-2.55,8.958,6,confederate
29,1,-1.4540000000000002,9.865,-1.641,10.237,3,confederate
30,0,-2.794,9.587,-2.729,9.587,6,confederate
30,1,-1.3955000000000002,9.454,-1.605,10.01,3,confederate
31,0,-2.776,9.076,-2.501,8.7835,6,confederate
31,1,-1.328,9.04625,-1.445,9.0165,3,confederate
32,0,-2.827,9.3895,-2.673,9.3895,6,confederate
32,1,-1.407,9.325,-1.495,9.325,6,confederate
33,0,-2.794,9.262,-2.584,9.076,6,confederate
33,1,-1.418,9.45875,-1.559,9.724,6,confederate
34,0,-2.776,9.199,-2.619,9.199,6,confederate
34,1,-1.3415,9.2935,-1.475,9.199,6,confederate
35,0,-2.872,9.589,-2.789,9.7945,6,confederate
35,1,-1.412,9.35725,-1.537,9.587,6,confederate
36,0,-2.813,9.262,-2.655,9.325,6,confederate
36,1,-1.421,9.48725,-1.57,9.7945,6,confederate
37,0,-2.852,9.5205,-2.768,9.724,6,confederate
37,1,-1.4355,9.587,-1.548,9.6555,6,confederate
38,0,-3.028,9.867,-3.028,10.636,6,confederate
38,1,-1.4225,9.55475,-1.559,9.724,6,confederate
39,0,-2.833,9.589,-2.809,9.865,6,confederate
39,1,-1.35,9.0165,-1.436,8.958,6,confederate
40,0,-2.833,9.265,-2.809,9.865,6,confederate
40,1,-1.4065,9.3895,-1.537,9.587,3,confederate
41,0,-2.74,9.0165,-2.567,9.0165,6,confederate
41,1,-1.397,9.325,-1.495,9.325,3,confederate
42,0,-2.794,9.1375,-2.601,9.1375,9,confederate
42,1,-1.4225,9.56175,-1.593,9.9375,3,confederate
43,0,-2.757,9.1375,-2.512,8.8985,6,confederate
43,1,-1.377,9.2635,-1.526,9.5205,3,confederate
44,0,-2.829,9.3895,-2.651,9.3895,6,confederate
44,1,-1.3775,9.3325,-1.582,9.865,3,confederate
45,0,-2.755,9.325,-2.563,9.076,6,confederate
45,1,-1.4049999999999998,9.43725,-1.593,9.9375,3,confederate
46,0,-2.869,9.726,-2.826,10.01,6,confederate
46,1,-1.4125,9.5255,-1.605,10.01,3,confederate
47,0,-2.869,9.5205,-2.688,9.5205,6,confederate
47,1,-1.34,9.04625,-1.559,9.724,3,confederate
48,0,-2.833,9.587,-2.707,9.587,6,confederate
48,1,-1.3765,9.262,-1.582,9.865,3,confederate
49,0,-2.749,9.1375,-2.304,8.1595,6,confederate
49,1,-1.366,9.325,-1.548,9.6555,3,confederate
50,0,-2.849,9.456,-2.806,9.9375,6,confederate
50,1,-1.385,9.455,-1.582,9.865,3,confederate
51,0,-2.811,9.262,-2.597,9.199,6,confederate
51,1,-1.381,9.2935,-1.505,9.3895,9,confederate
52,0,-2.814,9.5205,-2.688,9.5205,6,confederate
52,1,-1.362,9.23125,-1.526,9.5205,9,confederate
53,0,-2.892,9.7985,-2.806,9.9375,6,confederate
53,1,-1.379,9.35725,-1.57,9.7945,9,confederate
54,0,-2.749,9.3895,-2.615,9.262,6,confederate
54,1,-1.3845,9.3895,-1.537,9.587,9,confederate
55,0,-2.717,9.454,-2.707,9.587,6,confederate
55,1,-1.3735,9.3905,-1.593,9.9375,9,confederate
56,0,-2.852,9.6595,-2.746,9.726,6,confederate
56,1,-1.3725,9.3895,-1.559,9.726,9,confederate
57,0,-2.869,9.7945,-2.848,10.085,6,confederate
57,1,-1.3785,9.42275,-1.537,9.587,9,confederate
58,0,-2.893,9.867,-2.912,10.314,6,confederate
58,1,-1.2965,8.87025,-1.436,8.957,9,confederate
59,0,-2.889,9.867,-2.806,9.9375,6,confederate
59,1,-1.32,9.05425,-1.505,9.3895,9,confederate
